PNword	review
시원	SSD 로 빠르 ᆫ 부팅 에 한번 , 시원 하 ᆫ 화면 에 한번 , 가볍 ᆫ 무게 에 한번 놀래 었 다
크	15인치 이 라서 화면 도 크 고 화질 도 정말 좋 아요 
좋	15인치 이 라서 화면 도 크 고 화질 도 정말 좋 아요
신세계	배송 이 좀 오래 걸리 었 지만 이벤트 때 주문폭주 하 아서 그런 것 이 니까요 대신 제조 날짜 가 완전 최근 이 예요 ( 11 월 ) 그리고 외관 이 생각 보다 훨씬 고급스럽 고 이쁘 어요 깔끔 하 구요 만지 어 보 면 단단 하 ᆫ 느낌 이 예요 원래 14 인치 오래되 ᆫ 것 쓰 다가 바꾸 니까 화면 도 속도 도 신세계 이 에요
크	기존 에 집 에서 13인치 쓰 다가 15인치 를 보 니까 확실히 화면 이 크 고 영상 볼 때 더 좋 네요 
좋	기존 에 집 에서 13인치 쓰 다가 15인치 를 보 니까 확실히 화면 이 크 고 영상 볼 때 더 좋 네요
크	사무용 노트북 으로 좋은것 같 아요 lg 그램 살 시 기 에 는 부담 스럽 ᆫ 분 들 에게 추천 하 ㅂ니다 심각 하 게 무겁 다고 느껴지 진 않 네요 화면 이 크 어서 영화 나 유투브 보 는데 아주 편하 아요
크	화면 이 15인치 이 라 크 어서 시원 하 고 넓 어서 좋 네요 
시원	화면 이 15인치 이 라 크 어서 시원 하 고 넓 어서 좋 네요 
넓	화면 이 15인치 이 라 크 어서 시원 하 고 넓 어서 좋 네요 
좋	화면 이 15인치 이 라 크 어서 시원 하 고 넓 어서 좋 네요
와이드	오 자마자 하드 장착 하 고 ( 역시 엘지 설치 가 쉽 더군 이 어 ) 전원 켜 어서 설정 조매 하 고 바로 상품평 쓰 려고 웹페이지 열 었 네 여 속도감 만족 하 구 이 어 와이드 화면 이 라 더 좋 아 이 어 마우스 가 좀 만 더 고급지 이 면 좋 겠 지만 
좋	오 자마자 하드 장착 하 고 ( 역시 엘지 설치 가 쉽 더군 이 어 ) 전원 켜 어서 설정 조매 하 고 바로 상품평 쓰 려고 웹페이지 열 었 네 여 속도감 만족 하 구 이 어 와이드 화면 이 라 더 좋 아 이 어 마우스 가 좀 만 더 고급지 이 면 좋 겠 지만 
좋	오 자마자 하드 장착 하 고 ( 역시 엘지 설치 가 쉽 더군 이 어 ) 전원 켜 어서 설정 조매 하 고 바로 상품평 쓰 려고 웹페이지 열 었 네 여 속도감 만족 하 구 이 어 와이드 화면 이 라 더 좋 아 이 어 마우스 가 좀 만 더 고급지 이 면 좋 겠 지만
크	일단 생각 보다 무겁 지 않 고 15인치 이 라 화면 도 크 고 좋 네요 
좋	일단 생각 보다 무겁 지 않 고 15인치 이 라 화면 도 크 고 좋 네요
크게	15인치 인 데 화면 이 더 크게 보이 고 할인 받 아 저렴 하 ᆫ 가격 에 윈도우10 까지 탑재 되 어 있 어 정말 만족 하 ㅂ니다
넓	화면 도 넓 구요
크	화면 도 크 고 역시 노트북 은 엘지 가 최고 네 요
크	가격 대비 아주 만족 하 ㅂ니다 화면 도 크 고 집 에서 쓰 기 좋 아 요단 휴대용 하 기 에 는 좀 크 고 무겁 니 참고 하 시 어요 
좋	가격 대비 아주 만족 하 ㅂ니다 화면 도 크 고 집 에서 쓰 기 좋 아 요단 휴대용 하 기 에 는 좀 크 고 무겁 니 참고 하 시 어요 
크	가격 대비 아주 만족 하 ㅂ니다 화면 도 크 고 집 에서 쓰 기 좋 아 요단 휴대용 하 기 에 는 좀 크 고 무겁 니 참고 하 시 어요
깨끗	일단 화면 이 깨끗 하 아서 넘 만족 하 고요
와이드	와이드 화면 이 라 그렇 ᆫ지 생각 하 았 던 것 보다 작 게 느껴지 네요 윈도우 10 탑재 모델 이 라 바로 프로그램 깔 고 사용 하 ᆯ 수 있 어서 좋 구요 이 전 에 쓰 던 hp 제품 보다 슬림 하 고 당연히 속도 도 빠르 고 좋 습니다 
좋	와이드 화면 이 라 그렇 ᆫ지 생각 하 았 던 것 보다 작 게 느껴지 네요 윈도우 10 탑재 모델 이 라 바로 프로그램 깔 고 사용 하 ᆯ 수 있 어서 좋 구요 이 전 에 쓰 던 hp 제품 보다 슬림 하 고 당연히 속도 도 빠르 고 좋 습니다 
좋	와이드 화면 이 라 그렇 ᆫ지 생각 하 았 던 것 보다 작 게 느껴지 네요 윈도우 10 탑재 모델 이 라 바로 프로그램 깔 고 사용 하 ᆯ 수 있 어서 좋 구요 이 전 에 쓰 던 hp 제품 보다 슬림 하 고 당연히 속도 도 빠르 고 좋 습니다
크	노트북 생각 보다 약간 무겁지 만 화면 이 크 어서 시원시원 하 ᄆ 
시원시원	노트북 생각 보다 약간 무겁지 만 화면 이 크 어서 시원시원 하 ᄆ
크	빅스마일데이 쿠폰 을 이용 하 아서 정말 대박 할인 받 아 구매 하 았 는데 기대 하 았 던 것 보다 화면 도 크 고 집 에서 사용 하 던 17인치 모니터 랑 별 차이 도 없 어서 만족 스럽 어요
좋	배송 빠르 고 노트북 도 빠르 ᄆ 처음 쓰 어 보 는 노트북 이 지만 바로 바로 화면 열리 고 느리 ᆫ 감 이 없 어서 너무 좋 아요 소음 도 하나 안 나 고 너무 좋 습니다 ㅠㅠ 
좋	배송 빠르 고 노트북 도 빠르 ᄆ 처음 쓰 어 보 는 노트북 이 지만 바로 바로 화면 열리 고 느리 ᆫ 감 이 없 어서 너무 좋 아요 소음 도 하나 안 나 고 너무 좋 습니다 ㅠㅠ
시원시원	15인치 이 라서 화면 도 시원시원 하 구요 충전 시 발열 도 적 은 것 같 습니다 디자인 도 깔끔 하 아서 마음 에 드 ㅂ니다
넓	깔끔 하 고 넓 은 화면 과 시원 하 ᆫ 제품 디자인 
시원	깔끔 하 고 넓 은 화면 과 시원 하 ᆫ 제품 디자인
깨끗	그램 과 고민 하 다가 무게 보다 는 사양 을 선택 하 아서 울트라 로 구매 하 았 어요 여기저기 검색 하 아 보 다가 여기 가 가장 저렴 하 아서 여기 서 구매 하 았 습니다 카드 하 ᆯ 인 까지 받 아 저렴 하 게 구매 하 았 네요 방문수령 하 아서 마우스패드 도 받 았 어요 컴퓨터 도 마음 에 들 고 사은품 도 마음 에 들 어요 들 고 오 는 것 이 ᆫ 좀 힘들 었 지만 방문 사은품 도 마음 에 들 어요 지마켓 에서 구매 하 고 방문수령 키워드 가 도착 하 지 않 아 문의 하 았었 는데 친절 하 게 응대 하 아 주 시 었 어요 이 전 에 사용 하 던 노트북 과 비교 하 아서 화면 도 깨끗 하 고 훨씬 빠르 어요 사기 ㄹ 잘 하 ᆫ 것 같 아 요 키보드 도 훨씬 누르 기 편하 네요 지금 까지 사용 하 ᆫ 바로 는 안 좋 은 것 이 ᆫ 없 는 것 같 아요 사기 ㄹ 잘 하 았 어요 
좋	그램 과 고민 하 다가 무게 보다 는 사양 을 선택 하 아서 울트라 로 구매 하 았 어요 여기저기 검색 하 아 보 다가 여기 가 가장 저렴 하 아서 여기 서 구매 하 았 습니다 카드 하 ᆯ 인 까지 받 아 저렴 하 게 구매 하 았 네요 방문수령 하 아서 마우스패드 도 받 았 어요 컴퓨터 도 마음 에 들 고 사은품 도 마음 에 들 어요 들 고 오 는 것 이 ᆫ 좀 힘들 었 지만 방문 사은품 도 마음 에 들 어요 지마켓 에서 구매 하 고 방문수령 키워드 가 도착 하 지 않 아 문의 하 았었 는데 친절 하 게 응대 하 아 주 시 었 어요 이 전 에 사용 하 던 노트북 과 비교 하 아서 화면 도 깨끗 하 고 훨씬 빠르 어요 사기 ㄹ 잘 하 ᆫ 것 같 아 요 키보드 도 훨씬 누르 기 편하 네요 지금 까지 사용 하 ᆫ 바로 는 안 좋 은 것 이 ᆫ 없 는 것 같 아요 사기 ㄹ 잘 하 았 어요
크	조금 무게감 은 있 지만 크 ᆫ 화면 빠르 ᆫ 속도 매우 만족 하 ㅂ니다
크	화면 도 크 고 성능 도 좋 아요 
좋	화면 도 크 고 성능 도 좋 아요
크	화면 도 크 고 성능 도 좋 아요 
좋	화면 도 크 고 성능 도 좋 아요
