PNword	review
많	주문량 이 많 아서 생각 보다 배송 은 오래 걸리 기 ᆫ 하 았 지만 사은품 도 다 오 았 고 노트북 이 예쁘 어서 만족 하 ㅂ니다 
다	주문량 이 많 아서 생각 보다 배송 은 오래 걸리 기 ᆫ 하 았 지만 사은품 도 다 오 았 고 노트북 이 예쁘 어서 만족 하 ㅂ니다
좋	요건 제 가 사용 하 려고 요 평소 사진 영상 편집 일 을 하 는데 휴대 도 좋 고 컬러 도 화이트 이 라 예쁘 어요 사은품 도 받 을 수 있 어서 정말 좋은기회 에 저렴 하 게 잘 구입 하 았 네요 아주 만족 하 ㅂ니다 
받	요건 제 가 사용 하 려고 요 평소 사진 영상 편집 일 을 하 는데 휴대 도 좋 고 컬러 도 화이트 이 라 예쁘 어요 사은품 도 받 을 수 있 어서 정말 좋은기회 에 저렴 하 게 잘 구입 하 았 네요 아주 만족 하 ㅂ니다 
저렴	요건 제 가 사용 하 려고 요 평소 사진 영상 편집 일 을 하 는데 휴대 도 좋 고 컬러 도 화이트 이 라 예쁘 어요 사은품 도 받 을 수 있 어서 정말 좋은기회 에 저렴 하 게 잘 구입 하 았 네요 아주 만족 하 ㅂ니다 
잘	요건 제 가 사용 하 려고 요 평소 사진 영상 편집 일 을 하 는데 휴대 도 좋 고 컬러 도 화이트 이 라 예쁘 어요 사은품 도 받 을 수 있 어서 정말 좋은기회 에 저렴 하 게 잘 구입 하 았 네요 아주 만족 하 ㅂ니다
이것저것	생각 보다 훨씬 가볍고 부팅 도 짱 빠르 네요 역시 엘쥐 제품 이 네요 , 이것저것 사은품 도 많이 주 고 좋 습니다 [ G마켓 안드로이드 앱 에서 작성 ] 
많이	생각 보다 훨씬 가볍고 부팅 도 짱 빠르 네요 역시 엘쥐 제품 이 네요 , 이것저것 사은품 도 많이 주 고 좋 습니다 [ G마켓 안드로이드 앱 에서 작성 ] 
좋	생각 보다 훨씬 가볍고 부팅 도 짱 빠르 네요 역시 엘쥐 제품 이 네요 , 이것저것 사은품 도 많이 주 고 좋 습니다 [ G마켓 안드로이드 앱 에서 작성 ]
많이	현재 사용 하 고 있 는 노트북 이 오래되 어 바꾸 려고 검색 중 할인 이 많이 되 고 색상 도 마음 에 들 어 구입 하 게 되 었 습니다 노트북 받 는 순간 검은색 만 사용 하 다 흰색 이 어서 너무 깔끔 하 고 예쁘 었 습니다 사은품 도 가방 , 무선 마우스 , 보호필름 , 키보드 커버 , 마우스 패드 까지 다 챙기 어 주 시 니 너무 좋 았 습니다 느리 ᆫ 노트북 쓰 다가 정말 빠르 ᆫ 속도 에 감동 또 감동 
마음	현재 사용 하 고 있 는 노트북 이 오래되 어 바꾸 려고 검색 중 할인 이 많이 되 고 색상 도 마음 에 들 어 구입 하 게 되 었 습니다 노트북 받 는 순간 검은색 만 사용 하 다 흰색 이 어서 너무 깔끔 하 고 예쁘 었 습니다 사은품 도 가방 , 무선 마우스 , 보호필름 , 키보드 커버 , 마우스 패드 까지 다 챙기 어 주 시 니 너무 좋 았 습니다 느리 ᆫ 노트북 쓰 다가 정말 빠르 ᆫ 속도 에 감동 또 감동 
받	현재 사용 하 고 있 는 노트북 이 오래되 어 바꾸 려고 검색 중 할인 이 많이 되 고 색상 도 마음 에 들 어 구입 하 게 되 었 습니다 노트북 받 는 순간 검은색 만 사용 하 다 흰색 이 어서 너무 깔끔 하 고 예쁘 었 습니다 사은품 도 가방 , 무선 마우스 , 보호필름 , 키보드 커버 , 마우스 패드 까지 다 챙기 어 주 시 니 너무 좋 았 습니다 느리 ᆫ 노트북 쓰 다가 정말 빠르 ᆫ 속도 에 감동 또 감동 
다	현재 사용 하 고 있 는 노트북 이 오래되 어 바꾸 려고 검색 중 할인 이 많이 되 고 색상 도 마음 에 들 어 구입 하 게 되 었 습니다 노트북 받 는 순간 검은색 만 사용 하 다 흰색 이 어서 너무 깔끔 하 고 예쁘 었 습니다 사은품 도 가방 , 무선 마우스 , 보호필름 , 키보드 커버 , 마우스 패드 까지 다 챙기 어 주 시 니 너무 좋 았 습니다 느리 ᆫ 노트북 쓰 다가 정말 빠르 ᆫ 속도 에 감동 또 감동 
다	현재 사용 하 고 있 는 노트북 이 오래되 어 바꾸 려고 검색 중 할인 이 많이 되 고 색상 도 마음 에 들 어 구입 하 게 되 었 습니다 노트북 받 는 순간 검은색 만 사용 하 다 흰색 이 어서 너무 깔끔 하 고 예쁘 었 습니다 사은품 도 가방 , 무선 마우스 , 보호필름 , 키보드 커버 , 마우스 패드 까지 다 챙기 어 주 시 니 너무 좋 았 습니다 느리 ᆫ 노트북 쓰 다가 정말 빠르 ᆫ 속도 에 감동 또 감동 
챙기	현재 사용 하 고 있 는 노트북 이 오래되 어 바꾸 려고 검색 중 할인 이 많이 되 고 색상 도 마음 에 들 어 구입 하 게 되 었 습니다 노트북 받 는 순간 검은색 만 사용 하 다 흰색 이 어서 너무 깔끔 하 고 예쁘 었 습니다 사은품 도 가방 , 무선 마우스 , 보호필름 , 키보드 커버 , 마우스 패드 까지 다 챙기 어 주 시 니 너무 좋 았 습니다 느리 ᆫ 노트북 쓰 다가 정말 빠르 ᆫ 속도 에 감동 또 감동 
좋	현재 사용 하 고 있 는 노트북 이 오래되 어 바꾸 려고 검색 중 할인 이 많이 되 고 색상 도 마음 에 들 어 구입 하 게 되 었 습니다 노트북 받 는 순간 검은색 만 사용 하 다 흰색 이 어서 너무 깔끔 하 고 예쁘 었 습니다 사은품 도 가방 , 무선 마우스 , 보호필름 , 키보드 커버 , 마우스 패드 까지 다 챙기 어 주 시 니 너무 좋 았 습니다 느리 ᆫ 노트북 쓰 다가 정말 빠르 ᆫ 속도 에 감동 또 감동 
쓰	현재 사용 하 고 있 는 노트북 이 오래되 어 바꾸 려고 검색 중 할인 이 많이 되 고 색상 도 마음 에 들 어 구입 하 게 되 었 습니다 노트북 받 는 순간 검은색 만 사용 하 다 흰색 이 어서 너무 깔끔 하 고 예쁘 었 습니다 사은품 도 가방 , 무선 마우스 , 보호필름 , 키보드 커버 , 마우스 패드 까지 다 챙기 어 주 시 니 너무 좋 았 습니다 느리 ᆫ 노트북 쓰 다가 정말 빠르 ᆫ 속도 에 감동 또 감동
잘	배송 은 예상 하 던 기간 내 에 잘 도착 하 았 고 사은품 도 누락 없 었 습니다 
누락	배송 은 예상 하 던 기간 내 에 잘 도착 하 았 고 사은품 도 누락 없 었 습니다 
없	배송 은 예상 하 던 기간 내 에 잘 도착 하 았 고 사은품 도 누락 없 었 습니다
받	근데 사은품 으로 받 은 화면보호필름 은 정말 붙이 기 어렵 네요
받	결제 하 고 배송 받 는 것 까지 물량부족 이 라고 너무 오래 걸리 긴 하 았 지만 사은품 도 노트북 도 잘 받 았 보 았 습니다 
잘	결제 하 고 배송 받 는 것 까지 물량부족 이 라고 너무 오래 걸리 긴 하 았 지만 사은품 도 노트북 도 잘 받 았 보 았 습니다 
받	결제 하 고 배송 받 는 것 까지 물량부족 이 라고 너무 오래 걸리 긴 하 았 지만 사은품 도 노트북 도 잘 받 았 보 았 습니다
없	간단 하 ᆫ 삼 ㅜ 업무 를 진행 하 는데 발열 과 소음 문제 는 전혀 없 는 것 같 네요 가성비 로 유명 하 ᆫ 제품 이 듯 정말 가성비 가 좋 습니다 사은품 도 많이 주 어서 아주 만족스럽 습니다 
좋	간단 하 ᆫ 삼 ㅜ 업무 를 진행 하 는데 발열 과 소음 문제 는 전혀 없 는 것 같 네요 가성비 로 유명 하 ᆫ 제품 이 듯 정말 가성비 가 좋 습니다 사은품 도 많이 주 어서 아주 만족스럽 습니다 
많이	간단 하 ᆫ 삼 ㅜ 업무 를 진행 하 는데 발열 과 소음 문제 는 전혀 없 는 것 같 네요 가성비 로 유명 하 ᆫ 제품 이 듯 정말 가성비 가 좋 습니다 사은품 도 많이 주 어서 아주 만족스럽 습니다 
만족스럽	간단 하 ᆫ 삼 ㅜ 업무 를 진행 하 는데 발열 과 소음 문제 는 전혀 없 는 것 같 네요 가성비 로 유명 하 ᆫ 제품 이 듯 정말 가성비 가 좋 습니다 사은품 도 많이 주 어서 아주 만족스럽 습니다
마음	거기 에 가방 이나 무선마우스 , 보호필름 까지 사은품 이 마음 에 드 ㅂ니다
꼭	사은품 5 종 도 꼭 필요 하 ᆫ 것 으로 구성 하 아서 더 추가 구입 하 지 않 아도 되 네요 
필요	사은품 5 종 도 꼭 필요 하 ᆫ 것 으로 구성 하 아서 더 추가 구입 하 지 않 아도 되 네요
챙기	빅스마일 할인 행사 중 에 도 키스킨 액정보호필름 마우스 와 마우스패드 사은품 까지 챙기 어 주 시 고
받	그런데 포토 상품평 사은품 받 기 진짜 복잡 하 고 까다롭 네요 
복잡	그런데 포토 상품평 사은품 받 기 진짜 복잡 하 고 까다롭 네요 
까다롭	그런데 포토 상품평 사은품 받 기 진짜 복잡 하 고 까다롭 네요
저렴	우선 빅스마일 로 저렴 하 게 구매 하 았 네요 무엇 보다 도 오피스 가 깔리 어 있 어서 바로 사용 하 ᆯ 수 있 어서 좋 습니다 사은품 도 5 개 나 주 시 어서 좋 구요 노트북 사용 하 는데 꼭 필요 하 ᆫ 제품 의 사은품 이 네요 저 는 울트라 패 기지 에 외부 보호필름 도 있 는 줄 알 고 추가 로 구매 하 았 는데 파우치 만 추가 되 고 키스킨 이랑 보호필름 만 두장 씩 되 어 버리 었 네요 이점 참고 하 시 기 바라 ㅂ니다 싸게 구매 하 ᆫ 것 은 좋 아 으나 물량 마다 ㄹ로 이주 이상 기달 려 받 아서 구매취소 하 ᆯ까 
좋	우선 빅스마일 로 저렴 하 게 구매 하 았 네요 무엇 보다 도 오피스 가 깔리 어 있 어서 바로 사용 하 ᆯ 수 있 어서 좋 습니다 사은품 도 5 개 나 주 시 어서 좋 구요 노트북 사용 하 는데 꼭 필요 하 ᆫ 제품 의 사은품 이 네요 저 는 울트라 패 기지 에 외부 보호필름 도 있 는 줄 알 고 추가 로 구매 하 았 는데 파우치 만 추가 되 고 키스킨 이랑 보호필름 만 두장 씩 되 어 버리 었 네요 이점 참고 하 시 기 바라 ㅂ니다 싸게 구매 하 ᆫ 것 은 좋 아 으나 물량 마다 ㄹ로 이주 이상 기달 려 받 아서 구매취소 하 ᆯ까 
좋	우선 빅스마일 로 저렴 하 게 구매 하 았 네요 무엇 보다 도 오피스 가 깔리 어 있 어서 바로 사용 하 ᆯ 수 있 어서 좋 습니다 사은품 도 5 개 나 주 시 어서 좋 구요 노트북 사용 하 는데 꼭 필요 하 ᆫ 제품 의 사은품 이 네요 저 는 울트라 패 기지 에 외부 보호필름 도 있 는 줄 알 고 추가 로 구매 하 았 는데 파우치 만 추가 되 고 키스킨 이랑 보호필름 만 두장 씩 되 어 버리 었 네요 이점 참고 하 시 기 바라 ㅂ니다 싸게 구매 하 ᆫ 것 은 좋 아 으나 물량 마다 ㄹ로 이주 이상 기달 려 받 아서 구매취소 하 ᆯ까 
꼭	우선 빅스마일 로 저렴 하 게 구매 하 았 네요 무엇 보다 도 오피스 가 깔리 어 있 어서 바로 사용 하 ᆯ 수 있 어서 좋 습니다 사은품 도 5 개 나 주 시 어서 좋 구요 노트북 사용 하 는데 꼭 필요 하 ᆫ 제품 의 사은품 이 네요 저 는 울트라 패 기지 에 외부 보호필름 도 있 는 줄 알 고 추가 로 구매 하 았 는데 파우치 만 추가 되 고 키스킨 이랑 보호필름 만 두장 씩 되 어 버리 었 네요 이점 참고 하 시 기 바라 ㅂ니다 싸게 구매 하 ᆫ 것 은 좋 아 으나 물량 마다 ㄹ로 이주 이상 기달 려 받 아서 구매취소 하 ᆯ까 
필요	우선 빅스마일 로 저렴 하 게 구매 하 았 네요 무엇 보다 도 오피스 가 깔리 어 있 어서 바로 사용 하 ᆯ 수 있 어서 좋 습니다 사은품 도 5 개 나 주 시 어서 좋 구요 노트북 사용 하 는데 꼭 필요 하 ᆫ 제품 의 사은품 이 네요 저 는 울트라 패 기지 에 외부 보호필름 도 있 는 줄 알 고 추가 로 구매 하 았 는데 파우치 만 추가 되 고 키스킨 이랑 보호필름 만 두장 씩 되 어 버리 었 네요 이점 참고 하 시 기 바라 ㅂ니다 싸게 구매 하 ᆫ 것 은 좋 아 으나 물량 마다 ㄹ로 이주 이상 기달 려 받 아서 구매취소 하 ᆯ까 
좋	우선 빅스마일 로 저렴 하 게 구매 하 았 네요 무엇 보다 도 오피스 가 깔리 어 있 어서 바로 사용 하 ᆯ 수 있 어서 좋 습니다 사은품 도 5 개 나 주 시 어서 좋 구요 노트북 사용 하 는데 꼭 필요 하 ᆫ 제품 의 사은품 이 네요 저 는 울트라 패 기지 에 외부 보호필름 도 있 는 줄 알 고 추가 로 구매 하 았 는데 파우치 만 추가 되 고 키스킨 이랑 보호필름 만 두장 씩 되 어 버리 었 네요 이점 참고 하 시 기 바라 ㅂ니다 싸게 구매 하 ᆫ 것 은 좋 아 으나 물량 마다 ㄹ로 이주 이상 기달 려 받 아서 구매취소 하 ᆯ까 
받	우선 빅스마일 로 저렴 하 게 구매 하 았 네요 무엇 보다 도 오피스 가 깔리 어 있 어서 바로 사용 하 ᆯ 수 있 어서 좋 습니다 사은품 도 5 개 나 주 시 어서 좋 구요 노트북 사용 하 는데 꼭 필요 하 ᆫ 제품 의 사은품 이 네요 저 는 울트라 패 기지 에 외부 보호필름 도 있 는 줄 알 고 추가 로 구매 하 았 는데 파우치 만 추가 되 고 키스킨 이랑 보호필름 만 두장 씩 되 어 버리 었 네요 이점 참고 하 시 기 바라 ㅂ니다 싸게 구매 하 ᆫ 것 은 좋 아 으나 물량 마다 ㄹ로 이주 이상 기달 려 받 아서 구매취소 하 ᆯ까
감사	키스킨 사 기 ᆫ 아깝 ᆫ데 사은품 으로 주 니 너무 감사 요 노트북 쓰 면서 갑갑 하 ᆫ 것 없 우 이 니 좋 아요 ms office 도 팍팍 열리 고 
쓰	키스킨 사 기 ᆫ 아깝 ᆫ데 사은품 으로 주 니 너무 감사 요 노트북 쓰 면서 갑갑 하 ᆫ 것 없 우 이 니 좋 아요 ms office 도 팍팍 열리 고 
없	키스킨 사 기 ᆫ 아깝 ᆫ데 사은품 으로 주 니 너무 감사 요 노트북 쓰 면서 갑갑 하 ᆫ 것 없 우 이 니 좋 아요 ms office 도 팍팍 열리 고 
좋	키스킨 사 기 ᆫ 아깝 ᆫ데 사은품 으로 주 니 너무 감사 요 노트북 쓰 면서 갑갑 하 ᆫ 것 없 우 이 니 좋 아요 ms office 도 팍팍 열리 고
저렴	사은품 으로 같이 오 ᆫ 마우스패드 와 무선마우스 는 저렴 이 로 사용 하 ᆯ 일 이 없 을 듯 하 지만 
없	사은품 으로 같이 오 ᆫ 마우스패드 와 무선마우스 는 저렴 이 로 사용 하 ᆯ 일 이 없 을 듯 하 지만
