PNword	review
좋	성능 이나 디자인 면 에서 너무 좋 아요
필요	노트북 고르 고 고르 다가 가격 도 저렴 하 고 필요 하 ᆫ 성능 이 다 있 어서 크 ᆫ 맘먹 고 구매 하 았 습니다
훨씬	그램 이랑 무게 빼 고 가격 대비 성능 비교 하 았 을 때 들 고 다니 ᆯ 것 아니 면 울트라 가 훨씬 나 은 것 같 네요
만족	윈 탑재 에 이 정도 스펙 에 이 가격 만족 하 ㅂ니다 그러 ㅁ 도 생각 하 았 지만 외향 빼 고 는 성능 대비 가격 이 아깝 다는 생각 에 울트라 로 맘 을 고치 었 지요 그러 ㅁ 에 비하 아 확실히 무 겁 하 지만 이것 가지 고 장거리 뛰 ᆯ 일 도 없 고 발열 도 허용 가능 내 라 굿
매우	4 년 전 구매 하 ᆫ 노트북 이 성능 이 매우 떨어지 어 새로 구입 을 하 았 습니다
빠릿빠릿	성능 은 생각 하 ᆫ 대로 빠릿빠릿 하 ᆫ게 매우 만족스럽 습니다 
매우	성능 은 생각 하 ᆫ 대로 빠릿빠릿 하 ᆫ게 매우 만족스럽 습니다
좋	스펙 성능 좋 고 가볍고 빠르 고
좋	받 고 나 아서 왜 고민 하 앗 을까 하 는 생각 이 들 정도 로 성능 이나 가격 모두 좋 아요
충분	물론 그램 보다 ᆫ 무겁지 만 그래도 이 정도 크기 화면 과 성능 이 면 충분 하 ㅂ니다
매우	이 가격 에 이 성능 이 면 매우 만족 하 ㅂ니다 배송 도 빠르 구요 
만족	이 가격 에 이 성능 이 면 매우 만족 하 ㅂ니다 배송 도 빠르 구요
매우	이 가격 에 이 성능 이 면 매우 만족 하 ㅂ니다 배송 도 빠르 구요 
만족	이 가격 에 이 성능 이 면 매우 만족 하 ㅂ니다 배송 도 빠르 구요
매우	이 가격 에 이 성능 이 면 매우 만족 하 ㅂ니다 배송 도 빠르 구요 
만족	이 가격 에 이 성능 이 면 매우 만족 하 ㅂ니다 배송 도 빠르 구요
만족	그래도 노트북 성능 은 만족 하 ㅂ니다
좋	으로 무게감 은 있 지만 집 에서 사용 하 는 것 이 라 크게 신경 쓰 지 않 았 고 , 같 은 가격 대비 그램 보다 울트라 가 성능 이 더 좋 아서 선택 하 게 되 었 습니다
좋	아이 가 쓸 거라 엘지 그램 노트북 보 던 중 에 성능 이 좋 은 것 같 아서 선택 하 았 어요
차이	물론 약간 을 성능 차이 가 있 지만 크게 중요 하 지 않 은 부분 이 라 가감 하 게 구매 하 게 되 었 네요
만족	안 에 구성품 도 잘 들 어 있 고 , 배송 도 빠르 아서 만족 하 ㅂ니다 : D 성능 좋 은 컴퓨터 가성비 좋 게 사 아서 전체 적 으로 만족 스럽 어요 
좋	안 에 구성품 도 잘 들 어 있 고 , 배송 도 빠르 아서 만족 하 ㅂ니다 : D 성능 좋 은 컴퓨터 가성비 좋 게 사 아서 전체 적 으로 만족 스럽 어요 
좋	안 에 구성품 도 잘 들 어 있 고 , 배송 도 빠르 아서 만족 하 ㅂ니다 : D 성능 좋 은 컴퓨터 가성비 좋 게 사 아서 전체 적 으로 만족 스럽 어요 
만족	안 에 구성품 도 잘 들 어 있 고 , 배송 도 빠르 아서 만족 하 ㅂ니다 : D 성능 좋 은 컴퓨터 가성비 좋 게 사 아서 전체 적 으로 만족 스럽 어요
