PNword	review
좋	이전 노트북 을 오래 사용 하 다가 빅스마일 기간 에 좋 은 가격 에 구매 를 하 았 습니다 윈도 가 깔리 어 있 는 상품 이 길 선호 하 았 습니다
대비	제품 기본 사양 도 가격 대비 좋 아서 추가 로 업그레이드 는 하 지 않 았 습니다 
좋	제품 기본 사양 도 가격 대비 좋 아서 추가 로 업그레이드 는 하 지 않 았 습니다
대비	가격 대비 좋 은 사양 으로 구매자 가 많 았 던 것 같 습니다 
좋	가격 대비 좋 은 사양 으로 구매자 가 많 았 던 것 같 습니다
가성비	그램 , 아수스 , 삼성 올인원 , 레노버 로 고민 하 다가 , 성능 , 가격 , 무게 , 사용성 , win 10 여부 등 고민 하 다가 최종 엘지 제품 으로 결정 하 았 고 , 그중 그램 과 울트라 중 가성비 로 최종 울트라 로 결정 하 았 네요
저렴	외산 보급형 저렴 하 ᆫ 노트북 도 비슷 하 ᆫ 스펙 에 윈도우 가격 더 하 면 총 가격 이 많이 차이 나 지 않 아서 이 제품 으로 구매 하 았 는데 잘 선택 하 ᆫ 것 같 아 요 집 가 가 이 에 서비스센터 가 몇 개 나 있 네요
착하	꼼꼼 하 ᆫ 배송 과 착하 ᆫ 가격 고맙 습니다
저렴	노트북 고르 고 고르 다가 가격 도 저렴 하 고 필요 하 ᆫ 성능 이 다 있 어서 크 ᆫ 맘먹 고 구매 하 았 습니다
이만한	모트 북 바닥 이 살 ？ 뜨 게 되 어 있 어서 발열 측면 도 신경 쓰 ᆫ 것 같 네 이 어 화이트 색상 은 첨 쓰 어 보 는데 이쁘 어서 손 이 부들거리 네 이 어 가격 생각 하 면 이만한 노트북 없 을 것 같 아 이 어
대비	배송 두 생각 하 았 던 것 보다 빨리 오 고 가격 대비 가성비 좋 습니다 
가성비	배송 두 생각 하 았 던 것 보다 빨리 오 고 가격 대비 가성비 좋 습니다 
좋	배송 두 생각 하 았 던 것 보다 빨리 오 고 가격 대비 가성비 좋 습니다
저렴	15인치 인 데 화면 이 더 크게 보이 고 할인 받 아 저렴 하 ᆫ 가격 에 윈도우10 까지 탑재 되 어 있 어 정말 만족 하 ㅂ니다 
만족	15인치 인 데 화면 이 더 크게 보이 고 할인 받 아 저렴 하 ᆫ 가격 에 윈도우10 까지 탑재 되 어 있 어 정말 만족 하 ㅂ니다
대비	그램 이랑 무게 빼 고 가격 대비 성능 비교 하 았 을 때 들 고 다니 ᆯ 것 아니 면 울트라 가 훨씬 나 은 것 같 네요 
비교	그램 이랑 무게 빼 고 가격 대비 성능 비교 하 았 을 때 들 고 다니 ᆯ 것 아니 면 울트라 가 훨씬 나 은 것 같 네요
만족	윈 탑재 에 이 정도 스펙 에 이 가격 만족 하 ㅂ니다 그러 ㅁ 도 생각 하 았 지만 외향 빼 고 는 성능 대비 가격 이 아깝 다는 생각 에 울트라 로 맘 을 고치 었 지요 그러 ㅁ 에 비하 아 확실히 무 겁 하 지만 이것 가지 고 장거리 뛰 ᆯ 일 도 없 고 발열 도 허용 가능 내 라 굿 
대비	윈 탑재 에 이 정도 스펙 에 이 가격 만족 하 ㅂ니다 그러 ㅁ 도 생각 하 았 지만 외향 빼 고 는 성능 대비 가격 이 아깝 다는 생각 에 울트라 로 맘 을 고치 었 지요 그러 ㅁ 에 비하 아 확실히 무 겁 하 지만 이것 가지 고 장거리 뛰 ᆯ 일 도 없 고 발열 도 허용 가능 내 라 굿 
굿	윈 탑재 에 이 정도 스펙 에 이 가격 만족 하 ㅂ니다 그러 ㅁ 도 생각 하 았 지만 외향 빼 고 는 성능 대비 가격 이 아깝 다는 생각 에 울트라 로 맘 을 고치 었 지요 그러 ㅁ 에 비하 아 확실히 무 겁 하 지만 이것 가지 고 장거리 뛰 ᆯ 일 도 없 고 발열 도 허용 가능 내 라 굿
저렴	저렴 하 ᆫ 가격 에 노트북 잘 사 았 습니다
대비	가격 대비 아주 만족 하 ㅂ니다 화면 도 크 고 집 에서 쓰 기 좋 아 요단 휴대용 하 기 에 는 좀 크 고 무겁 니 참고 하 시 어요 
만족	가격 대비 아주 만족 하 ㅂ니다 화면 도 크 고 집 에서 쓰 기 좋 아 요단 휴대용 하 기 에 는 좀 크 고 무겁 니 참고 하 시 어요 
좋	가격 대비 아주 만족 하 ㅂ니다 화면 도 크 고 집 에서 쓰 기 좋 아 요단 휴대용 하 기 에 는 좀 크 고 무겁 니 참고 하 시 어요
빅스마일데이	마침 빅스마일데이 이 라 최저가 보다 더 싸게 구매 가 가능 하 아서 가격 도 매우 만족 하 ㅂ니다 
최저가	마침 빅스마일데이 이 라 최저가 보다 더 싸게 구매 가 가능 하 아서 가격 도 매우 만족 하 ㅂ니다 
싸게	마침 빅스마일데이 이 라 최저가 보다 더 싸게 구매 가 가능 하 아서 가격 도 매우 만족 하 ㅂ니다 
만족	마침 빅스마일데이 이 라 최저가 보다 더 싸게 구매 가 가능 하 아서 가격 도 매우 만족 하 ㅂ니다
빅스마일데이	LG전자 울트라PC 15U590-GA56K 윈도우10 탑재 조카 수능 선물 로 구매 하 았 구요 빅스마일데이 행사 로 가격 도 저렴 하 고 좋 네요 
행사	LG전자 울트라PC 15U590-GA56K 윈도우10 탑재 조카 수능 선물 로 구매 하 았 구요 빅스마일데이 행사 로 가격 도 저렴 하 고 좋 네요 
저렴	LG전자 울트라PC 15U590-GA56K 윈도우10 탑재 조카 수능 선물 로 구매 하 았 구요 빅스마일데이 행사 로 가격 도 저렴 하 고 좋 네요 
좋	LG전자 울트라PC 15U590-GA56K 윈도우10 탑재 조카 수능 선물 로 구매 하 았 구요 빅스마일데이 행사 로 가격 도 저렴 하 고 좋 네요
대비	그램 이랑 울트라북 둘 중 에 엄청 고민 하 았 으나 결국 에 울트라북 으로 구매 하 았 네요 무게 는 그램 보다 많이 무겁 기 ᆫ 하지만 가격 대비 가성비 좋 고 세일 기간 내 에 30 마 넌 가량 할인 되 ᆫ 금액 으로 구매 하 게 되 어서 좋 네요 전 에 쓰 던 노트북 이 오래 되 어서 새로 살 ᆫ 노트북 은 빠르 고 좋 네요 윈도우 도 깔 아 지 어서 있 어 좋 아요 
가성비	그램 이랑 울트라북 둘 중 에 엄청 고민 하 았 으나 결국 에 울트라북 으로 구매 하 았 네요 무게 는 그램 보다 많이 무겁 기 ᆫ 하지만 가격 대비 가성비 좋 고 세일 기간 내 에 30 마 넌 가량 할인 되 ᆫ 금액 으로 구매 하 게 되 어서 좋 네요 전 에 쓰 던 노트북 이 오래 되 어서 새로 살 ᆫ 노트북 은 빠르 고 좋 네요 윈도우 도 깔 아 지 어서 있 어 좋 아요 
좋	그램 이랑 울트라북 둘 중 에 엄청 고민 하 았 으나 결국 에 울트라북 으로 구매 하 았 네요 무게 는 그램 보다 많이 무겁 기 ᆫ 하지만 가격 대비 가성비 좋 고 세일 기간 내 에 30 마 넌 가량 할인 되 ᆫ 금액 으로 구매 하 게 되 어서 좋 네요 전 에 쓰 던 노트북 이 오래 되 어서 새로 살 ᆫ 노트북 은 빠르 고 좋 네요 윈도우 도 깔 아 지 어서 있 어 좋 아요 
좋	그램 이랑 울트라북 둘 중 에 엄청 고민 하 았 으나 결국 에 울트라북 으로 구매 하 았 네요 무게 는 그램 보다 많이 무겁 기 ᆫ 하지만 가격 대비 가성비 좋 고 세일 기간 내 에 30 마 넌 가량 할인 되 ᆫ 금액 으로 구매 하 게 되 어서 좋 네요 전 에 쓰 던 노트북 이 오래 되 어서 새로 살 ᆫ 노트북 은 빠르 고 좋 네요 윈도우 도 깔 아 지 어서 있 어 좋 아요 
좋	그램 이랑 울트라북 둘 중 에 엄청 고민 하 았 으나 결국 에 울트라북 으로 구매 하 았 네요 무게 는 그램 보다 많이 무겁 기 ᆫ 하지만 가격 대비 가성비 좋 고 세일 기간 내 에 30 마 넌 가량 할인 되 ᆫ 금액 으로 구매 하 게 되 어서 좋 네요 전 에 쓰 던 노트북 이 오래 되 어서 새로 살 ᆫ 노트북 은 빠르 고 좋 네요 윈도우 도 깔 아 지 어서 있 어 좋 아요 
좋	그램 이랑 울트라북 둘 중 에 엄청 고민 하 았 으나 결국 에 울트라북 으로 구매 하 았 네요 무게 는 그램 보다 많이 무겁 기 ᆫ 하지만 가격 대비 가성비 좋 고 세일 기간 내 에 30 마 넌 가량 할인 되 ᆫ 금액 으로 구매 하 게 되 어서 좋 네요 전 에 쓰 던 노트북 이 오래 되 어서 새로 살 ᆫ 노트북 은 빠르 고 좋 네요 윈도우 도 깔 아 지 어서 있 어 좋 아요
좋	받 고 나 아서 왜 고민 하 앗 을까 하 는 생각 이 들 정도 로 성능 이나 가격 모두 좋 아요
대비	가격 대비 사향 을 비교 하 아 보 면 무게 가 가볍 ᆫ 그램 에 
비교	가격 대비 사향 을 비교 하 아 보 면 무게 가 가볍 ᆫ 그램 에
좋	엘지제품 을 선호 하 는 편 이 라 좋 은 가격 으로 구매 하 아서 만족 하 ㅂ니다 노트북 구매 하 시 는 분 들 께 
만족	엘지제품 을 선호 하 는 편 이 라 좋 은 가격 으로 구매 하 아서 만족 하 ㅂ니다 노트북 구매 하 시 는 분 들 께
저렴	배송 빠르 고 저렴 하 ᆫ 가격 에 잘 구매 하 았 습니 디
저렴	사무용 노트북 으로 아주 적합 하 어요 lg 그램 과 울트라PC 를 두 고 고민 을 참 많이 하 았 는데 울트라 로 사기 ㄹ 잘 하 ᆫ 것 같 아요 고사양 작업 이 아니 ᆫ 워드 , 인터넷 , 간단 하 ᆫ 게임 을 즐기 시 는 분 들 한테 적합 하 ᆯ 것 같 아요 장거리 로 매일 가지 고 다니 지 않 으니 심하 게 무겁 다는 생각 은 안 들 네요 장시간 으로 사용 하 아도 발열 과 소음 도 것 의 없 고 가격 도 저렴 하 니 좋 네요 사은품 도 푸짐 하 게 주 어서 더욱 만족 하 았 습니다 
좋	사무용 노트북 으로 아주 적합 하 어요 lg 그램 과 울트라PC 를 두 고 고민 을 참 많이 하 았 는데 울트라 로 사기 ㄹ 잘 하 ᆫ 것 같 아요 고사양 작업 이 아니 ᆫ 워드 , 인터넷 , 간단 하 ᆫ 게임 을 즐기 시 는 분 들 한테 적합 하 ᆯ 것 같 아요 장거리 로 매일 가지 고 다니 지 않 으니 심하 게 무겁 다는 생각 은 안 들 네요 장시간 으로 사용 하 아도 발열 과 소음 도 것 의 없 고 가격 도 저렴 하 니 좋 네요 사은품 도 푸짐 하 게 주 어서 더욱 만족 하 았 습니다 
만족	사무용 노트북 으로 아주 적합 하 어요 lg 그램 과 울트라PC 를 두 고 고민 을 참 많이 하 았 는데 울트라 로 사기 ㄹ 잘 하 ᆫ 것 같 아요 고사양 작업 이 아니 ᆫ 워드 , 인터넷 , 간단 하 ᆫ 게임 을 즐기 시 는 분 들 한테 적합 하 ᆯ 것 같 아요 장거리 로 매일 가지 고 다니 지 않 으니 심하 게 무겁 다는 생각 은 안 들 네요 장시간 으로 사용 하 아도 발열 과 소음 도 것 의 없 고 가격 도 저렴 하 니 좋 네요 사은품 도 푸짐 하 게 주 어서 더욱 만족 하 았 습니다
빅스마일데이	빅스마일데이 쿠폰 으로 로 착하 ᆫ 가격 에 최고 의 가성비 노트북 을 가지 게 되 었 네요 
착하	빅스마일데이 쿠폰 으로 로 착하 ᆫ 가격 에 최고 의 가성비 노트북 을 가지 게 되 었 네요 
가성비	빅스마일데이 쿠폰 으로 로 착하 ᆫ 가격 에 최고 의 가성비 노트북 을 가지 게 되 었 네요
비교	여러 곳 을 다니 며 사양 보 아 가격 을 비교 하 고 있 던 차 에 77 만 원 대 에 빅 세일 을 하 드라구요
비교	그간 비교 를 하 았 던 차 이 라 사양 에 비하 아 가격 이 엄청 착하 다는 것 이 ᆯ 알 ᆯ 수 있 었 죠 
착하	그간 비교 를 하 았 던 차 이 라 사양 에 비하 아 가격 이 엄청 착하 다는 것 이 ᆯ 알 ᆯ 수 있 었 죠
좋	배송 도 빠르 고 좋 은 제품 좋 은 가격 에 구입 하 아서 기분 이 좋 네요 
좋	배송 도 빠르 고 좋 은 제품 좋 은 가격 에 구입 하 아서 기분 이 좋 네요 
좋	배송 도 빠르 고 좋 은 제품 좋 은 가격 에 구입 하 아서 기분 이 좋 네요
대비	처리속도 등 가격 대비 상당히 좋 습니다 
좋	처리속도 등 가격 대비 상당히 좋 습니다
비교	가격 은 모두 다 그렇 시 겠 지만 이곳저곳 비교 하 아 보 았 을 때 대략 10
좋	집 에 컴퓨터 가 고장 나서 어 노트북 알아보 던 중 스마일데이 시작 도 하고 평소 에 관심 있 어 하 던 상품 이 좋 은 가격 에 나오 아서 바로 구매 하 았 네요 주문 하 ᆫ지 하루 만 에 배송 되 어서 지금 이것저것 세팅 하 고 해보 는데 가격 대비 훌륭 하 고 아주 아주 빠르 아서 기분 이 좋 네요 사은품 으로 주 시 는 마우스 나 필름 등 도 일반 싸구려 같 지 않 고 좋 고 노트북 또한 최신제품 으로 잘 도착 하 고 SSD 는 처음 겪 어 보 는데 부팅속도 아주 환상적 으로 빠르 고 무게 또한 이 정도 이 면 가지 고 다니 기 에 도 크게 부담 은 되 ᆯ 것 같 지 않 네요 주 변 에 사 고 싶어하 는 분 들 이 많 은데 이 제품 으로 추천 하 아 주 어야 하 아야 하 겠 네요 좋 은 상품 싸 고 빨리 보내 어 주 어서 감사합니다 
