PNword	review
늦	출장 가 아서 사용 하 려고 구매 를 하 았 던 것 이 ᆫ데 배송 이 늦 어 지 어서 조마조마 하 았었 습니다
아쉽	배송 이 조금 아쉽 기 ᆫ 하 았 지만 기다리 ᆫ 보람 은 충분 하 었 다
오래	주문량 이 많 아서 생각 보다 배송 은 오래 걸리 기 ᆫ 하 았 지만 사은품 도 다 오 았 고 노트북 이 예쁘 어서 만족 하 ㅂ니다 
걸리	주문량 이 많 아서 생각 보다 배송 은 오래 걸리 기 ᆫ 하 았 지만 사은품 도 다 오 았 고 노트북 이 예쁘 어서 만족 하 ㅂ니다
늦	늦 은 배송 에 문의 글 도 올리 고 전화 도 하 았 지만 친절 하 게 답변 하 아 주 시 었 습니다 무광 이 라서 더 예쁘 지만 때 타 ᆯ까 보 아 걱정 이 되 어서 필름 은 붙 아야 하 ᆯ 듯하 ㅂ니다
느리	재고 가 떨어지 어서 배송 이 느리 기 ᆫ 하 았 지만 사기 ㄹ 정말 잘 하 았 어요 받 고 나 니까 그런 생각 이 많이 들 네요
지연	배송 이 좀 지연 되 었 으나 , 기다리 ᆫ 보람 이 있 네요
만	11 / 11 일 에 구매 하 았 는데 3 주 만 에 배송 이 되 었 네요 배송 말 이 고 는 전반 적 으로 만족 하 ㅂ니다 확실히 그램 노트북 대비 무게감 은 차이 가 나 ㅂ니다 휴대 가 많 으시 ᆫ 분 들 은 그램 노트북 추천 요
예상	배송 은 예상 하 던 기간 내 에 잘 도착 하 았 고 사은품 도 누락 없 었 습니다
오래	배송 이 좀 오래 걸리 었 지만 이벤트 때 주문폭주 하 아서 그런 것 이 니까요 대신 제조 날짜 가 완전 최근 이 예요 ( 11 월 ) 그리고 외관 이 생각 보다 훨씬 고급스럽 고 이쁘 어요 깔끔 하 구요 만지 어 보 면 단단 하 ᆫ 느낌 이 예요 원래 14 인치 오래되 ᆫ 것 쓰 다가 바꾸 니까 화면 도 속도 도 신세계 이 에요 
걸리	배송 이 좀 오래 걸리 었 지만 이벤트 때 주문폭주 하 아서 그런 것 이 니까요 대신 제조 날짜 가 완전 최근 이 예요 ( 11 월 ) 그리고 외관 이 생각 보다 훨씬 고급스럽 고 이쁘 어요 깔끔 하 구요 만지 어 보 면 단단 하 ᆫ 느낌 이 예요 원래 14 인치 오래되 ᆫ 것 쓰 다가 바꾸 니까 화면 도 속도 도 신세계 이 에요
오래	결제 하 고 배송 받 는 것 까지 물량부족 이 라고 너무 오래 걸리 긴 하 았 지만 사은품 도 노트북 도 잘 받 았 보 았 습니다 
걸리	결제 하 고 배송 받 는 것 까지 물량부족 이 라고 너무 오래 걸리 긴 하 았 지만 사은품 도 노트북 도 잘 받 았 보 았 습니다
빨리	배송 도 빨리 오 아서 금방 받 을 수 있 어서 좋 았 어요
지연이	주문량 이 많 아 배송 지연이 좀 되 었 지만 급하 았 던 게 아니 어서 만족 하 ㅂ니다
지연	너무 많이 판매 가 되 어서 배송 지연 으로 조금 늦 게 받 긴 하 았 지만 그러 어도 방금 생산 하 ᆫ 따끈따끈 하 ᆫ 제품 이 오 았 네요 
늦	너무 많이 판매 가 되 어서 배송 지연 으로 조금 늦 게 받 긴 하 았 지만 그러 어도 방금 생산 하 ᆫ 따끈따끈 하 ᆫ 제품 이 오 았 네요
오래	배송 오 이 는데 조금 오래 걸리 ᆫ 감 이 있 었 지만 그것 빼 고 는 전부 다 만족 하 ㅂ니다 사기 ㄹ 잘 한 것 같 아요 
걸리	배송 오 이 는데 조금 오래 걸리 ᆫ 감 이 있 었 지만 그것 빼 고 는 전부 다 만족 하 ㅂ니다 사기 ㄹ 잘 한 것 같 아요
느리	다만 이번 행사 가 대박 이 아서 물량부족 으로 배송 시간 이 좀 느리 ᆫ 점 은 아쉽 지만 제품 최고 이 ㅂ니다 
아쉽	다만 이번 행사 가 대박 이 아서 물량부족 으로 배송 시간 이 좀 느리 ᆫ 점 은 아쉽 지만 제품 최고 이 ㅂ니다
꼼꼼	꼼꼼 하 ᆫ 배송 과 착하 ᆫ 가격 고맙 습니다
아쉽	급하 ᆫ 제품 은 아니 라 기다리 긴 하 았 는데 배송 이 아쉽 지만 제품 은 좋 아요
늦	주문폭주 로 인 해 배송 이 좀 늦 기 ᆫ 하 았 습니다만 받 아 보 니 색상 도 깔끔 하 고 성능도 좋 네요
걸리	주문 하 아서 배송 까지 무려 16 일 걸리 었 어요 역대급 기다리 ᄆ 잇 었 지만
빠르	그래도 끝 까지 기 달리 어서 좋 은 노트북 구매 하 았 네요 앞 으로 는 물량 확보 ㅎ ㅜ 빠르 ᆫ 배송 으로 구매 하 게 하 아 주 시 었 으면 하 ㅂ니다 직구 보다 도 오래 걸리 다보니 불만사항 이 많 을 듯 하 ㅂ니다 
오래	그래도 끝 까지 기 달리 어서 좋 은 노트북 구매 하 았 네요 앞 으로 는 물량 확보 ㅎ ㅜ 빠르 ᆫ 배송 으로 구매 하 게 하 아 주 시 었 으면 하 ㅂ니다 직구 보다 도 오래 걸리 다보니 불만사항 이 많 을 듯 하 ㅂ니다 
걸리	그래도 끝 까지 기 달리 어서 좋 은 노트북 구매 하 았 네요 앞 으로 는 물량 확보 ㅎ ㅜ 빠르 ᆫ 배송 으로 구매 하 게 하 아 주 시 었 으면 하 ㅂ니다 직구 보다 도 오래 걸리 다보니 불만사항 이 많 을 듯 하 ㅂ니다
느리	배송 은 느리 네요
지연	배송 이 조금 지연 되 ᆫ다고 하 아서 걱정 을 하 았었 는데 그래도 빨리 잘 받 아 보 ᆯ 수 있 었 습니다 
빨리	배송 이 조금 지연 되 ᆫ다고 하 아서 걱정 을 하 았었 는데 그래도 빨리 잘 받 아 보 ᆯ 수 있 었 습니다
빨리	배송 두 생각 하 았 던 것 보다 빨리 오 고 가격 대비 가성비 좋 습니다
오래	배송 진짜 오래 걸리 었 네요 
걸리	배송 진짜 오래 걸리 었 네요
오래	배송 이 오래 걸리 어서 
걸리	배송 이 오래 걸리 어서
늦	오랜 기다리 ᄆ 끝 에 드디어 오늘 받 았 습니다 늦 을 것 이 라 생각 은 하 았 지만 그래도 2 주 넘 게 걸리 어 애 가 좀 타 ᆫ 것 같 네요 배송 직원 분 이 노트북 이 라 그냥 놓 고 가지 않 고 연락 을 따로 주 시 어서 고맙 었 습니다 박스 상태 도 좋 고 안 에 pc 도 사은품 들 도 모두 잘 도착 하 았 습니다 다만 주 시 ᆫ 무선마우스 가 불량 이 ㅂ니다 TT 다시 발송 하 아 주 시 겠 지요 
걸리	오랜 기다리 ᄆ 끝 에 드디어 오늘 받 았 습니다 늦 을 것 이 라 생각 은 하 았 지만 그래도 2 주 넘 게 걸리 어 애 가 좀 타 ᆫ 것 같 네요 배송 직원 분 이 노트북 이 라 그냥 놓 고 가지 않 고 연락 을 따로 주 시 어서 고맙 었 습니다 박스 상태 도 좋 고 안 에 pc 도 사은품 들 도 모두 잘 도착 하 았 습니다 다만 주 시 ᆫ 무선마우스 가 불량 이 ㅂ니다 TT 다시 발송 하 아 주 시 겠 지요 
직원	오랜 기다리 ᄆ 끝 에 드디어 오늘 받 았 습니다 늦 을 것 이 라 생각 은 하 았 지만 그래도 2 주 넘 게 걸리 어 애 가 좀 타 ᆫ 것 같 네요 배송 직원 분 이 노트북 이 라 그냥 놓 고 가지 않 고 연락 을 따로 주 시 어서 고맙 었 습니다 박스 상태 도 좋 고 안 에 pc 도 사은품 들 도 모두 잘 도착 하 았 습니다 다만 주 시 ᆫ 무선마우스 가 불량 이 ㅂ니다 TT 다시 발송 하 아 주 시 겠 지요
늦	배송 은 늦 었 지만 매우 만족 하 ㅂ니다
오래	배송 이 오래 걸리 ᆫ 것 말 고 는 만족 하 ㅂ니다 
걸리	배송 이 오래 걸리 ᆫ 것 말 고 는 만족 하 ㅂ니다
바로	배송 도 바로 오 고 누락 되 ᆫ 사은품 도 없 어 매우 만족 하 ㅂ니다
빠르	배송 빠르 게 잘 받 았 습니다
걸리	사이트 에서 는 2 주 정도 걸리 ᆯ 것 이 라고 공지 가 있 어서 별 기대 없 었 는데 토요일 밤 에 주문 하 아서 다음주 목요일 낮 에 배송 받 았 습니다
빠르	배송 도 빠르 고 제품 도 만족스럽 네요
오래	이번 에 지마켓 에서 행사 를 하 아서 쿠폰 혜택 까지 받 아서 정말 저렴 하 게 구매 하 았 어요 기 존 노트북 에 이상 이 생기 어서 주문 하 았 는데 너무 사람 들 이 많이 주문 하 아서 배송 이 좀 오래 걸리 ᆯ 수 있 다는 공지 에 한 3 - 4 일 ㅎ ㅜ 에 나 받 을 수 있 겠 다고 생각 하 았 는데 생각 보다 바로 발송 하 아 주 시 어서 바로 받 을 수 있 었 어요 
걸리	이번 에 지마켓 에서 행사 를 하 아서 쿠폰 혜택 까지 받 아서 정말 저렴 하 게 구매 하 았 어요 기 존 노트북 에 이상 이 생기 어서 주문 하 았 는데 너무 사람 들 이 많이 주문 하 아서 배송 이 좀 오래 걸리 ᆯ 수 있 다는 공지 에 한 3 - 4 일 ㅎ ㅜ 에 나 받 을 수 있 겠 다고 생각 하 았 는데 생각 보다 바로 발송 하 아 주 시 어서 바로 받 을 수 있 었 어요 
