PNword	review
빠르	현재 사용 하 고 있 는 노트북 이 오래되 어 바꾸 려고 검색 중 할인 이 많이 되 고 색상 도 마음 에 들 어 구입 하 게 되 었 습니다 노트북 받 는 순간 검은색 만 사용 하 다 흰색 이 어서 너무 깔끔 하 고 예쁘 었 습니다 사은품 도 가방 , 무선 마우스 , 보호필름 , 키보드 커버 , 마우스 패드 까지 다 챙기 어 주 시 니 너무 좋 았 습니다 느리 ᆫ 노트북 쓰 다가 정말 빠르 ᆫ 속도 에 감동 또 감동 
감동	현재 사용 하 고 있 는 노트북 이 오래되 어 바꾸 려고 검색 중 할인 이 많이 되 고 색상 도 마음 에 들 어 구입 하 게 되 었 습니다 노트북 받 는 순간 검은색 만 사용 하 다 흰색 이 어서 너무 깔끔 하 고 예쁘 었 습니다 사은품 도 가방 , 무선 마우스 , 보호필름 , 키보드 커버 , 마우스 패드 까지 다 챙기 어 주 시 니 너무 좋 았 습니다 느리 ᆫ 노트북 쓰 다가 정말 빠르 ᆫ 속도 에 감동 또 감동 
감동	현재 사용 하 고 있 는 노트북 이 오래되 어 바꾸 려고 검색 중 할인 이 많이 되 고 색상 도 마음 에 들 어 구입 하 게 되 었 습니다 노트북 받 는 순간 검은색 만 사용 하 다 흰색 이 어서 너무 깔끔 하 고 예쁘 었 습니다 사은품 도 가방 , 무선 마우스 , 보호필름 , 키보드 커버 , 마우스 패드 까지 다 챙기 어 주 시 니 너무 좋 았 습니다 느리 ᆫ 노트북 쓰 다가 정말 빠르 ᆫ 속도 에 감동 또 감동
빠르	일 하 는 작업 속도 까지 빠르 어 지 니 일 에 도 능률 이 오르 네요 좋 은 제품 저렴 하 게 판매 하 아 주 시 어서 감사합니다 수 이 고 하 시 어요
신세계	배송 이 좀 오래 걸리 었 지만 이벤트 때 주문폭주 하 아서 그런 것 이 니까요 대신 제조 날짜 가 완전 최근 이 예요 ( 11 월 ) 그리고 외관 이 생각 보다 훨씬 고급스럽 고 이쁘 어요 깔끔 하 구요 만지 어 보 면 단단 하 ᆫ 느낌 이 예요 원래 14 인치 오래되 ᆫ 것 쓰 다가 바꾸 니까 화면 도 속도 도 신세계 이 에요
빠르	전 에 쓰 던 노트북 이 너무 느리 어 가지 고 작업 속도 가 너무 뎌뎠는데 이번 에 LG 15 U 590 - ga 56 k 살 니까 속도 도 너무 빠르 고 좋 더라고요
빠르	와이드 화면 이 라 그렇 ᆫ지 생각 하 았 던 것 보다 작 게 느껴지 네요 윈도우 10 탑재 모델 이 라 바로 프로그램 깔 고 사용 하 ᆯ 수 있 어서 좋 구요 이 전 에 쓰 던 hp 제품 보다 슬림 하 고 당연히 속도 도 빠르 고 좋 습니다
빠르	반짝 반짝 좋 으 네요 사은품 도 맘 에 들 이 고 봄 에 구입 하 ᆫ 타사 꺼 보다 속도 가 빠르 ᆫ 것 같 아요
엄청	덕분 에 윈도우 속도 가 엄청 빠르 어요 
빠르	덕분 에 윈도우 속도 가 엄청 빠르 어요
빠르	무게 도 생각 보다 가볍고 집 에서 사용 하 아 보 니 속도 도 빠르 ᆫ 것 같 아요
빠르	속도 도 빠르 고 해상도 도 선명 하 고
빠르	사은품 이 작 어서 조금 아쉽 지만 속도 도 빠르 고 좋 아요
엄청	8 gb 추가 장착 하 아서 주문 하 았 는데 , 속도 도 엄청 빠르 고 , 가볍고 디자인 도 깔끔 하 니 맘 에 쏙 드 ㅂ니다 
빠르	8 gb 추가 장착 하 아서 주문 하 았 는데 , 속도 도 엄청 빠르 고 , 가볍고 디자인 도 깔끔 하 니 맘 에 쏙 드 ㅂ니다
빠르	그동안 느리 어 터지 ᆫ 데스크탑 으로 숙제 하 ᆯ 때 애 가 고생 하 았 는데 , 아이 가 노트북 켜 ᆯ 때 마다 빠르 ᆫ 속도 에 감탄 하 네요 
감탄	그동안 느리 어 터지 ᆫ 데스크탑 으로 숙제 하 ᆯ 때 애 가 고생 하 았 는데 , 아이 가 노트북 켜 ᆯ 때 마다 빠르 ᆫ 속도 에 감탄 하 네요
빠르	로젠 택배 에서 받 자 말 자 사진 짝 이 고 설치 하 고 사용 하 니 속도 가 빠르 고 사용 하 지 편하 게 사용 하 ᆯ 수 있 게 되 어서 애 들 이 좋 다가 하 ㅂ니다
빠르	속도 빠르 고 ,
엄청	속도 엄청 빠르 고 , 해상도 도 굿 이 에요 
빠르	속도 엄청 빠르 고 , 해상도 도 굿 이 에요
빠르	조금 무게감 은 있 지만 크 ᆫ 화면 빠르 ᆫ 속도 매우 만족 하 ㅂ니다
빠르	중 1 딸아이 첫 노트북 으로 인강 도 듣 고 숙제 도 하 려고 구입 하 았 는데 넘 좋 네요 딸 이 속도 도 빠르 고 성능 도 좋 다고 하 네요
빠르	외관 도 얇 고 수려 하 며 속도 도 빠르 ㅂ니다 ,
