PNword	review
가볍	SSD 로 빠르 ᆫ 부팅 에 한번 , 시원 하 ᆫ 화면 에 한번 , 가볍 ᆫ 무게 에 한번 놀래 었 다
가볍	무게 는 가볍 지 않 네요 저 는 집 에서 사용 하 ᆯ거라 구매 하 ᆯ 때 무게 는 신경 쓰 지 않 았 는데 실제로 받 아 보 니 들 고 다니 기 에 는 쪼끔 무겁 ᆯ 것 같 아요 
무겁	무게 는 가볍 지 않 네요 저 는 집 에서 사용 하 ᆯ거라 구매 하 ᆯ 때 무게 는 신경 쓰 지 않 았 는데 실제로 받 아 보 니 들 고 다니 기 에 는 쪼끔 무겁 ᆯ 것 같 아요
무겁	무게 는 그램 보다 는 무겁 ᆫ데 어차피 밖 에 들 고 나가 ᆯ 것 이 ᆫ 아니 라서 상관 은 없 어요 그러 어도 휴대 하 기 에 도 적당 하 ᆫ 무게 에 요 
적당	무게 는 그램 보다 는 무겁 ᆫ데 어차피 밖 에 들 고 나가 ᆯ 것 이 ᆫ 아니 라서 상관 은 없 어요 그러 어도 휴대 하 기 에 도 적당 하 ᆫ 무게 에 요
약간	그램 쓰 다가 이번 에 바꾸 었 는데 무게 가 약간 더 나가 는 것 외 에 는 제 가 쓰 는데 부족 하 ᄆ 이 ᆫ 없 네요
빼	그램 이랑 무게 빼 고 가격 대비 성능 비교 하 았 을 때 들 고 다니 ᆯ 것 아니 면 울트라 가 훨씬 나 은 것 같 네요
무겁	그램 이랑 울트라북 둘 중 에 엄청 고민 하 았 으나 결국 에 울트라북 으로 구매 하 았 네요 무게 는 그램 보다 많이 무겁 기 ᆫ 하지만 가격 대비 가성비 좋 고 세일 기간 내 에 30 마 넌 가량 할인 되 ᆫ 금액 으로 구매 하 게 되 어서 좋 네요 전 에 쓰 던 노트북 이 오래 되 어서 새로 살 ᆫ 노트북 은 빠르 고 좋 네요 윈도우 도 깔 아 지 어서 있 어 좋 아요
가볍	가격 대비 사향 을 비교 하 아 보 면 무게 가 가볍 ᆫ 그램 에
가볍고	무게 도 생각 보다 가볍고 집 에서 사용 하 아 보 니 속도 도 빠르 ᆫ 것 같 아요
무겁	확실 시 무게 는 울트라 가 더 무겁 어요 참고 하 시 어요
가볍	무게 도 생각 보다 가볍 었 고요
가볍고	그램 하 고 비교 하 다가 휴대 하 면서 쓰 ᆯ 일 이 별로 없 어서 이 제품 으로 구매 하 았 는데 무게 도 생각 보다 가볍고 속도 도 엄청 빠르 고 너무 좋 네요 앞전 에 중소기업 제품 을 사서 A / S 을 택배 로 부치 고 하 니까 시간 도 많이 걸리 고 귀찮 았 는데 역시 엘지제품 사기 잘 하 ᆫ 것 같 아요
가볍고	이 제품 으로 구매 하 았 는데 무게 도 생각 보다 가볍고 속도 도 엄청 빠르 고 너무 좋 네요 앞전 에 중소기업 제품 을 사 아서
