PNword	review
설치	윈도우 도 설치 되 어 있 어서 바로 사용 가능 하 아서 지금 잘 쓰 고 있 습니다
깔리	윈도우 도 깔리 어 있 고
탑재	윈도우 탑재 상품 이 라 다른 것 하 ᆯ 것 도 없이 편하 네요
탑재	노트북 은 빅스마일데이 행사 로 구매 하 아 생각 하 았 던 것 보다 많이 저렴 하 게 구매 하 았 습니다 14인치 사용 하 고 있 었 는데 이번 에 구매 하 ᆫ 15인치 는 생각 보다 크 네요 그래서 안정감 은 있 는 것 같 아요 윈도우 도 탑재 되 어 있 어 오피스 만 설치 하 면 끝 
설치	노트북 은 빅스마일데이 행사 로 구매 하 아 생각 하 았 던 것 보다 많이 저렴 하 게 구매 하 았 습니다 14인치 사용 하 고 있 었 는데 이번 에 구매 하 ᆫ 15인치 는 생각 보다 크 네요 그래서 안정감 은 있 는 것 같 아요 윈도우 도 탑재 되 어 있 어 오피스 만 설치 하 면 끝
깔	이전 노트북 은 델 에서 직구 로 구매 하 았 는데 직구 이 라서 그렇 ᆫ지 윈도우 깔 는 것 부터 어려움 이 많 았 어요
정품	윈도우 도 정품 포함 이 라 아주 만족 하 ㅂ니다
깔	그램 이랑 울트라북 둘 중 에 엄청 고민 하 았 으나 결국 에 울트라북 으로 구매 하 았 네요 무게 는 그램 보다 많이 무겁 기 ᆫ 하지만 가격 대비 가성비 좋 고 세일 기간 내 에 30 마 넌 가량 할인 되 ᆫ 금액 으로 구매 하 게 되 어서 좋 네요 전 에 쓰 던 노트북 이 오래 되 어서 새로 살 ᆫ 노트북 은 빠르 고 좋 네요 윈도우 도 깔 아 지 어서 있 어 좋 아요
깔	한가지 아쉽 ᆫ 점 은 노트북 위쪽 에 약간 의 검 은 얼룩이 있 었 던 점 이 ᆫ데 아마 윈도우 를 깔 때 생기 지 않 았 나 추측 하 아 보 ㅂ니다
탑재	윈도우 탑재 에 오피스 까지 한번 에 해결 하 ᆯ 수 있 어서 너무 마음 에 드 ㅂ니다
활성화	오늘 받 아서 윈도우 활성화 시키 었 습니다
깔리	사은품 으로 7 개 ( 가방 포함 ) 빠짐없이 잘 오 았 구요 윈도우 도 깔리 어 있 는 제품 이 라서 따로 설정 하 ᆯ 것 도 없 어서 너무 편하 고 좋 아요
탑재	윈도우 탑재 되 어 있 는 제품 만 찾 고 있 었 는 제 마침 이 제품 이 눈 에 들어오 아 구입 하 았었 는데 후회 없 는 선택 인 것 같 네요
탑재	윈도우 도 탑재 가 되 어 있 어 아이 가 바로 사용 하 기 에 무리 가 없 네요
기본으로	윈도우 가 기본으로 설치 되 어 있 어 받 아서 바로 사용 하 ᆯ 수 있 으니 참 좋 아요 
설치	윈도우 가 기본으로 설치 되 어 있 어 받 아서 바로 사용 하 ᆯ 수 있 으니 참 좋 아요
문제없이	윈도우 도 문제없이 잘 설치 되 어 있 었 어요 
설치	윈도우 도 문제없이 잘 설치 되 어 있 었 어요
탑재	고민 끝 에 주문 하 았 네요 다른 제품 이 더 이쁘 기 ᆫ 하 았 는데 윈도우 탑재 되 어 가격 이 더 저렴 하 었 네요 문제 는 제 가 너무 급하 게 주문 하 ᆫ 나머지 중복 11 퍼센트 할인 을 놓치 고 대신 브랜드할인 7 퍼센트 를 받 았 네요 아이고
깔리	윈도우 잘 깔리 어 있 고 문제 없이 며칠 째 잘 쓰 고 있 습니다
설치	윈도우 설치 되 어 있 어서 간단 하 ᆫ 설정 만 하 고 바로 사용 하 ᆯ 수 있 었 습니다
설치	윈도우 설치 되 어 있 어서 간단 하 ᆫ 설정 만 하 고 바로 사용 하 ᆯ 수 있 었 습니다
설치	윈도우 설치 되 어 있 어서 간단 하 ᆫ 설정 만 하 고 바로 사용 하 ᆯ 수 있 었 습니다
기본으로	윈도우 가 기본으로 설치 되 어 편하 았 습니다 
설치	윈도우 가 기본으로 설치 되 어 편하 았 습니다
탑재	그리고 가장 좋 은 것 이 ᆫ 윈도우 탑재 모델 이 라서 괜히 고생 하 지 않 아도 되 어서 너무 좋 았 습니다
기본	기본 사은품 도 많이 주 고 윈도우 가 기본 적 으로 깔리 어 있 어서 그냥 사용 하 지만 하 면 되 네요 
기본	기본 사은품 도 많이 주 고 윈도우 가 기본 적 으로 깔리 어 있 어서 그냥 사용 하 지만 하 면 되 네요 
깔리	기본 사은품 도 많이 주 고 윈도우 가 기본 적 으로 깔리 어 있 어서 그냥 사용 하 지만 하 면 되 네요
설치	잘 쓰 겠 습니다 키감 이 나쁘 지 않 네요 설치 하 ᆯ 때 계정 으로 로그인 하 고 윈도우 가 깔리 어 있 어서 바로 사용 하 는데 무리 가 없 습니다 
깔리	잘 쓰 겠 습니다 키감 이 나쁘 지 않 네요 설치 하 ᆯ 때 계정 으로 로그인 하 고 윈도우 가 깔리 어 있 어서 바로 사용 하 는데 무리 가 없 습니다
설치	윈도우 도 설치 되 어 있 고 같 은 사양 그램 보다 휠씬 저렴 하 아서 이것 구매 하 았 는데 아주 만족 하 아요
정품	윈도우 정품 인증 안 되 어 있 는 것 만 제외 하 면 좋 아요
깔리	윈도우 도 깔리 어 있 어서 바로 사용 가능 하 ᆫ게 정말 맘 에 들 었 어요
