PNword	review
훌륭	디자인 도 나름 훌륭 하 ㅂ니다
투박	성능 은 괜찮 은데 디자인 이 다소 투박 하 고 무게 도 부담 스럽 네요
좋	기다리 ᆫ 버 보람이 있 어 이 어 중국산 중국 노트북 이 라 그렇 ᆫ지 품질 도 좋 고 아주 속도 도 빠르 고 화면 도 정말 깨끗 하 게 나오 고 디자인 도 아주 좋 아요 
좋	기다리 ᆫ 버 보람이 있 어 이 어 중국산 중국 노트북 이 라 그렇 ᆫ지 품질 도 좋 고 아주 속도 도 빠르 고 화면 도 정말 깨끗 하 게 나오 고 디자인 도 아주 좋 아요
깔끔	디자인 도 깔끔 하 고 , 무게 도 가볍 ᆫ 편 이 예요
이쁘	디자인 도 톤 다운 되 ᆫ 네이비 색 너무 이쁘 고 무게 도 가볍고 심지어 충전기 까지 이쁘 어요 
이쁘	디자인 도 톤 다운 되 ᆫ 네이비 색 너무 이쁘 고 무게 도 가볍고 심지어 충전기 까지 이쁘 어요
예쁘	디자인 도 무광 느낌 의 그레이 이 라 예쁘 ㅂ니다
예쁘	디자인 이 생각 보다 예쁘 고
깔끔	가격 대비 디자인 도 깔끔 하 고 가볍 네요
깔끔	디자인 도 깔끔 하 고요
좋	ㄷㄷ 한 이 가격 으로 ᆫ 더 좋 을 수 가 없 는 구성 이 ㅂ니다 구매 ㅎ ㅜ 대만족 중 이 ㅂ니다 속도 무게 디자인 뭐 하나 빠지 는게 없 네요 게임 도 캐 엊 ㅠ 얼 하 ᆫ 게임 들 은 충분히 돌아가 는 사양 이 ㅂ니다 제대로 강추 하 ㅂ니다
간결	디자인 이 간결 하 고 좋 습니다 
좋	디자인 이 간결 하 고 좋 습니다
고급스럽	오 자마자 윈도우 설치 하 고 실행 하 아 보 았 는데 나름 저가 형 노트북 대 의 가격 이 ᆫ데 도 화면 도 밝 고 디자인 도 고급스럽 네요
훌륭	저렴 하 ᆫ 가격 에 훌륭 하 ᆫ 성능 과 디자인 완전 만족 하 ㅂ니다
깔끔	디자인 도 깔끔 하 고 베젤 이 얇 아서 그렇 ᆫ가 생각 보다 작 고 가볍 어서 마음 에 들 네요
깔끔	디자인 도 깔끔 하 고 키감 이 상당히 좋 구요 
좋	디자인 도 깔끔 하 고 키감 이 상당히 좋 구요
이쁘	디자인 이쁘 고 크기 도 적당 하 고 가격 과 성능도 아주 좋 으 네요 
적당	디자인 이쁘 고 크기 도 적당 하 고 가격 과 성능도 아주 좋 으 네요 
좋	디자인 이쁘 고 크기 도 적당 하 고 가격 과 성능도 아주 좋 으 네요
예쁘	가성비 노트북 찾 다가 스펙 괜찮 아서 사 았 는데 생각 보다 디자인 너무 예쁘 어서 놀라 았 어요
깔끔	금일 상품 받 아서 윈도우 설치 까지 마감 이랑 디자인 깔끔 하 아서 좋 아요 
좋	금일 상품 받 아서 윈도우 설치 까지 마감 이랑 디자인 깔끔 하 아서 좋 아요
깔끔	디자인 도 깔끔 하 고 무게 도 가볍 ᆫ 편 이 ㅂ니다
깔끔	처음 으로 노트북 사 아 보 았 는데 나름 가볍고 디자인 도 깔끔 하 고 좋 네요 배송 도 정말 빠르 아서 정말 좋 았 어요 
좋	처음 으로 노트북 사 아 보 았 는데 나름 가볍고 디자인 도 깔끔 하 고 좋 네요 배송 도 정말 빠르 아서 정말 좋 았 어요 
좋	처음 으로 노트북 사 아 보 았 는데 나름 가볍고 디자인 도 깔끔 하 고 좋 네요 배송 도 정말 빠르 아서 정말 좋 았 어요
굳	생각 보다 작 고 얇 고 가볍고 색상 도 디자인 도 굳 입니다
좋	제품 디자인 마감 둘 이 다 좋 고 가격 대비 성능 이 좋 아요 
좋	제품 디자인 마감 둘 이 다 좋 고 가격 대비 성능 이 좋 아요
고급스럽	디자인 도 40 만 원 대 같 지 않 게 고급스럽 네요
심플	심플 하 ᆫ 디자인 도 맘 에 들 어요
깔끔	디자인 도 깔끔 하 아서 더 좋 아요 
좋	디자인 도 깔끔 하 아서 더 좋 아요
이쁘	디자인 도 이쁘 어요
고급스럽	가격 때문 에 크 ᆫ 기대 안 하 ᆫ 마 감도 생각 보다 훨씬 고급스럽 고 디자인 도 아주 깔끔 하 ㅂ니다 
깔끔	가격 때문 에 크 ᆫ 기대 안 하 ᆫ 마 감도 생각 보다 훨씬 고급스럽 고 디자인 도 아주 깔끔 하 ㅂ니다
고급스럽	가격 때문 에 크 ᆫ 기대 안 하 ᆫ 마 감도 생각 보다 훨씬 고급스럽 고 디자인 도 아주 깔끔 하 ㅂ니다 
깔끔	가격 때문 에 크 ᆫ 기대 안 하 ᆫ 마 감도 생각 보다 훨씬 고급스럽 고 디자인 도 아주 깔끔 하 ㅂ니다
심플	디자인 도 심플 하 게 괜찮 습니다
깔끔	깔끔 하 ᆫ 디자인
깔끔	키보드 도 led 백라이트 나오 며 , 디자인 도 깔끔 하 니 맘 에 드 ㅂ니다
깔끔	디자인 도 깔끔 하 고 속도 도 괜찮 아서 아이 가 맘 에 들 어 하 네요
좋	생각 보다 가볍고 디자인 이 좋 네요
깔끔	깔끔 하 ᆫ 디자인 에 가볍 ᆫ 무게 가 좋 은데 프리도스 상태 이 라서 아직 실 성능 을 확인 못하 아 보 았 네요 
좋	깔끔 하 ᆫ 디자인 에 가볍 ᆫ 무게 가 좋 은데 프리도스 상태 이 라서 아직 실 성능 을 확인 못하 아 보 았 네요
이쁘	배송 엄청 빠르 고 성능 말 하 ᆯ 것 도 없 고 디자인 도 이쁘 네요 굿 굿 굿
깔끔	윈도우 설치 를 못하 아서 아직 제대로 사용 은 못하 았 지만 깔끔 하 ᆫ 디자인 으로 만족 하 고 있 습니다
좋	디자인 은 시중 노트북 중 매우 좋 은 편 이 며 , 키보드 백라이트 가 이 정도 가격 에 들어가 ᆫ 경우 는 것 의 못 보 ᆫ듯 하 ㅂ니다
이쁘	디자인 잘 빠지 었 고 생각 보다 ᆫ 두껍 지만 메탈릭 하 ᆫ게 실물 로 보 는게 훨씬 이쁘 ㅂ니다
깔끔	디자인 깔끔 하 고 윈도우 설치 도 잘 되 네요 잘 쓰 겠 습니다
예쁘	가성비 모델 이 ᄆ 에 도 디자인 도 예쁘 고 , 성능도 좋 고 , 배터리 까지 오래가 는 제품 이 ㅂ니다 
좋	가성비 모델 이 ᄆ 에 도 디자인 도 예쁘 고 , 성능도 좋 고 , 배터리 까지 오래가 는 제품 이 ㅂ니다
좋	빠리 ㅅ 하 이 고 좋 아요 디자인 도 이쁘 네요 
이쁘	빠리 ㅅ 하 이 고 좋 아요 디자인 도 이쁘 네요
깔끔	디자인 도 깔끔 하 고 좋 은 것 같 아요 
좋	디자인 도 깔끔 하 고 좋 은 것 같 아요
훌륭	디자인 도 가격 대비 이만 하 면 훌륭 하 ᆫ 편 이 ㅂ니다
깔끔	디자인 이 깔끔 하 고 색 도 마음 에 드 ㅂ니다
이쁘	색깔 도 이쁘 고 디자인 면 으로 는 훌륭 하 ㅂ니다 
훌륭	색깔 도 이쁘 고 디자인 면 으로 는 훌륭 하 ㅂ니다
좋	오랜만 에 노트북 구매 하 았 는데 , 가격 대비 성능 이 뛰어나 다고 생각 하 았 습니다만 , 막상 받 아 보 니 디자인 도 좋 네요
깔끔	일단 가장 맘 에 들 는 것 은 디자인 이 깔끔 하 ㅂ니다
좋	저렴 하 ᆫ 가성비 노트북 이 라 마감 이나 디자인 이 걱정 되 었 는데 생각 보다 너무 좋 아 아주 맘 에 드 ㅂ니다
예쁘	디자인 도 예쁘 다고 하긴 힘들 지만
고급스럽	노트북 이 필요 하 아 검색 하 다가 가성비 노트북 으로 추천 이 많 아 구매 하 았 는데 속도 도 빠리 ㅅ 하 이 고 디자인 이나 색상 도 제 기준 에서 는 고급스럽 게 보이 며 좋 네요 
좋	노트북 이 필요 하 아 검색 하 다가 가성비 노트북 으로 추천 이 많 아 구매 하 았 는데 속도 도 빠리 ㅅ 하 이 고 디자인 이나 색상 도 제 기준 에서 는 고급스럽 게 보이 며 좋 네요
깔끔	디자인 깔끔 하 고 마 감도 좋 네요 
좋	디자인 깔끔 하 고 마 감도 좋 네요
좋	이전 에 는 삼성 제품 만 쓰 었 었 는데 , 디자인 도 나쁘 지 않 고 마감 처 러 도 좋 네요
이쁘	디자인 도 이쁘 고 가성비 값 같 습니다
깔끔	디자인 도 깔끔 하 고 가격 도 착하 아 좋 은 것 같 습니다 
좋	디자인 도 깔끔 하 고 가격 도 착하 아 좋 은 것 같 습니다
좋	속도 빠르 고 디자인 좋 고
좋	가성비 좋 고 디자인 성능 깔끔 
깔끔	가성비 좋 고 디자인 성능 깔끔
심플	디자인 심플 하 ㅂ니다
좋	블루 색상 도 좋 고 디자인 전체 적 으로 좋 네요 
좋	블루 색상 도 좋 고 디자인 전체 적 으로 좋 네요
좋	만족스럽 습니다 디자인 크기 중량 딱 좋 습니다
깔끔	디자인 도 깔끔 하 고 좋 네요 
좋	디자인 도 깔끔 하 고 좋 네요
이쁘	받 자마자 윈도우 설치 하 고 잘 사용 중 이 ㅂ니다 디자인 도 이쁘 고 , 배송 도 빠르 아서 좋 네요 감사합니다 
좋	받 자마자 윈도우 설치 하 고 잘 사용 중 이 ㅂ니다 디자인 도 이쁘 고 , 배송 도 빠르 아서 좋 네요 감사합니다
깔끔	5 월 에 빅 세일 하 ᆯ 때 40 초반 에 구입 하 고 바쁘 다는 이유 로 이제서야 오픈 하 았 네요 디자인 도 깔끔 하 고 이쁘 고 컴팩트 하 고 
이쁘	5 월 에 빅 세일 하 ᆯ 때 40 초반 에 구입 하 고 바쁘 다는 이유 로 이제서야 오픈 하 았 네요 디자인 도 깔끔 하 고 이쁘 고 컴팩트 하 고
이쁘	저렴 하 ᆫ 노트북 을 찾 느라 , 디자인 은 고려 하 지 않 고 주문 하 ᆫ 것 이 ᆫ데 너무 이쁘 네요
투박	대신 아랫 판 이 조금 두껍 구요 , 처음 에 열 었 을 때 내부 디자인 이 조금 옛날 노트북 같이 투박 하 다고 느끼 었 어요 그런데 일주일 정도 사용 하 ᆫ 지금 은 안쪽 도 예쁘 어 보이 네요 
예쁘	대신 아랫 판 이 조금 두껍 구요 , 처음 에 열 었 을 때 내부 디자인 이 조금 옛날 노트북 같이 투박 하 다고 느끼 었 어요 그런데 일주일 정도 사용 하 ᆫ 지금 은 안쪽 도 예쁘 어 보이 네요
잘빠지	결국 에 는 지르 고 받 고 사용 하 고 나 니 너무 만족스럽 고 가성비 최고 에 디자인 도 잘빠지 었 고
이쁘	오랜만 에 노트북 구입 하 았 는데 디자인 도 이쁘 고 가성비 도 좋 구 모든 게 맘 에 들 어요 
좋	오랜만 에 노트북 구입 하 았 는데 디자인 도 이쁘 고 가성비 도 좋 구 모든 게 맘 에 들 어요
좋	디자인 도 좋 고 제품 도 빠르 게 준비 하 아 주 시 어서 잘 찾아오 았 는데 당시 키스킨 이 무료 이 어서 같이 넣 어 주 시 었 겠 다 하 았 는데 안 들 이 어 있 더라구요
깔끔	5 년 되 ᆫ 오래되 ᆫ 노트북 그동안 쓰 느라 복장 터지 었 었 는데 레노버 디자인 도 깔끔 하 고 가볍고 소음 도 적 고 좋 네요 
좋	5 년 되 ᆫ 오래되 ᆫ 노트북 그동안 쓰 느라 복장 터지 었 었 는데 레노버 디자인 도 깔끔 하 고 가볍고 소음 도 적 고 좋 네요
깔끔	디자인 도 깔끔 하 고 배송 도 빠르 네요 성능 또한 너무 마음 에 들 어요
훌륭	ips 패널 , 풀 hd , 라 이제 ᆫ 5 를 모두 만족 하 고 는 50 만 원 이 넘 질 않 습니다 스펙 으로 표시 는 안 되 어도 마감 디자인 도 모두 훌륭 하 ㅂ니다 좋 은 제품 에 더블 업 이벤트 까지 좋 은 구매 하 았 습니다 
좋	ips 패널 , 풀 hd , 라 이제 ᆫ 5 를 모두 만족 하 고 는 50 만 원 이 넘 질 않 습니다 스펙 으로 표시 는 안 되 어도 마감 디자인 도 모두 훌륭 하 ㅂ니다 좋 은 제품 에 더블 업 이벤트 까지 좋 은 구매 하 았 습니다 
좋	ips 패널 , 풀 hd , 라 이제 ᆫ 5 를 모두 만족 하 고 는 50 만 원 이 넘 질 않 습니다 스펙 으로 표시 는 안 되 어도 마감 디자인 도 모두 훌륭 하 ㅂ니다 좋 은 제품 에 더블 업 이벤트 까지 좋 은 구매 하 았 습니다
깔끔	사진 보다 직접 보 니 더 디자인 이 깔끔 하 고 마음 에 드 ㅂ니다
깔끔	디자인 이 굿 이 고 깔끔 하 어요
훌륭	아직 제대로 사용 하 아 보 지 않 았 지만 디자인 과 마감 은 훌륭 하 ᆫ 것 같 습니다
훌륭	아이 인강 용 으로 구입 하 았 는데 두께 나 무게 , 디자인 모두 아주 훌륭 하 ㅂ니다
고급스럽	다크 하 ᆫ 블루 이 라 디자인 도 너무 고급스럽 고 , 더블 더블 업 이 라 사양 도 가성비 갑
심플	디자인 도 심플 하 ᆫ 것 좋아하 아서 별 고민 안 하 고 구매 하 았 네요
좋	디자인 하 고 충전기 도 일체형 으로 컴팩트 하 ᆫ게 좋 네요
예쁘	가볍고 디자인 도 예쁘 ㅂ니다
적당	직접 받 고 보 니 디자인 도 맘 에 들 고 사이즈 도 적당 하 며 무게 도 적당 하 ᆫ 것 같 습니다 
적당	직접 받 고 보 니 디자인 도 맘 에 들 고 사이즈 도 적당 하 며 무게 도 적당 하 ᆫ 것 같 습니다
깔끔	디자인 도 깔끔 하 고 고급 지 ㅂ니다 
고급	디자인 도 깔끔 하 고 고급 지 ㅂ니다
이쁘	디자인 도 이쁘 고
깔끔	노트북 을 처음 구매 하 아 보 는데 생각 보다 가볍고 디자인 도 깔끔 하 아서 좋 습니다 
좋	노트북 을 처음 구매 하 아 보 는데 생각 보다 가볍고 디자인 도 깔끔 하 아서 좋 습니다
깔끔	화질 및 디자인 도 타 아 제품 에 비하 아 만족스럽 고 전체 적 인 마 감도 깔끔 하 ᆫ 것 같 습니다
만점	타자 감도 , 디자인 도 만점 중 에 만점 이 ㅂ니다 
만점	타자 감도 , 디자인 도 만점 중 에 만점 이 ㅂ니다
좋	적극 추천 하 고 싶 은데 본인 판단 이 기 때문 에 말 은 못하 지만 그래도 가격 도 좋 구 디자인 도 좋 구 성능도 좋 구 후회 는 안 하 ᆯ 꺼 에 이 어 
좋	적극 추천 하 고 싶 은데 본인 판단 이 기 때문 에 말 은 못하 지만 그래도 가격 도 좋 구 디자인 도 좋 구 성능도 좋 구 후회 는 안 하 ᆯ 꺼 에 이 어 
좋	적극 추천 하 고 싶 은데 본인 판단 이 기 때문 에 말 은 못하 지만 그래도 가격 도 좋 구 디자인 도 좋 구 성능도 좋 구 후회 는 안 하 ᆯ 꺼 에 이 어
깔끔	노트북 디자인 이 깔끔 하 고 세련 되 어 있 고 , 성능도 너무 좋 고 만족도 최고 이 에요 
좋	노트북 디자인 이 깔끔 하 고 세련 되 어 있 고 , 성능도 너무 좋 고 만족도 최고 이 에요
예쁘	윈도우10 설치 도 편하 고 디자인 도 예쁘 네요
적당	디자인 , 색상 , 적당 하 ᆫ 크기 더블 이벤트 까지 배송 도 예정 보다 빨리 오 고 가격 대비 만족 하 ㅂ니다
깔끔	디자인 깔끔 하 고 좋 습니다 
좋	디자인 깔끔 하 고 좋 습니다
깔끔	레노버 노트북 처음 사 아 ？ 이 는데 디자인 도 깔끔 하 니 예쁘 고 가볍 어요 잘 쓰 ᆯ게요 
