PNword	review
좋	성능 좋 고 빠르 고 , 색상 이쁘 어요
좋	하지만 노트북 성능 은 좋 아요
만족	가격 성능 모두 다 만족 스럽 었 습니다
좋	윈도10 설치 하 아서 프로그램 돌리 어 보 니 성능 이 좋 습니다
충분	일 러스 터 , 포토샵 , 라이트 룸 위주 로 작업 하 는데 램 8 G 으로 도 충분 하 ᆫ 성능 을 보이 네요
좋	라 이제 ᆫ 제품 은 처음 이 지만 동급 i5 에 비하 아 그래픽 성능 이 2 배 좋 다고 하 아서 구입 하 았 습니다
대만족	크기 , 무게 , 성능 모두 대만족
좋	내장 그러 핑 성능 이 훌륭 하 고 멀티 하 고 이 어 퍼포먼스 도 좋 네요
만족	저렴 하 ᆫ 가격 에 훌륭 하 ᆫ 성능 과 디자인 완전 만족 하 ㅂ니다
만족	성능 짱짱 하 고 배송 출고 만족 하 ㅂ니다
만족	생각 보다 는 무게 가 나가 지만 , 가격 대비 성능 을 고려 하 았 을 때 만족 하 ㅂ니다
만족	휴대성 과 성능 을 가지 ᆫ 노트북 을 찾 고 있 었 는데 이 어 몇 일 쓰 어 보 ᆫ 결과 굉장히 만족 하 고 있 답니다
만족	팬 소음 성능 등 아주 만족 하 ㅂ니다
좋	제품 디자인 마감 둘 이 다 좋 고 가격 대비 성능 이 좋 아요 
좋	제품 디자인 마감 둘 이 다 좋 고 가격 대비 성능 이 좋 아요
충분	노트북 성능 은 일반 삼 ㅜ 업무 나 웹서핑 , 유튜브 를 사용 하 기 에 충분 하 ᆫ 성능 이 고 게임 은 롤 한번 해보 았 는데 역시 충분히 돌아가 네요
좋	마감 좋 구요 성능 좋 고 가격 좋 아요 
좋	마감 좋 구요 성능 좋 고 가격 좋 아요 
좋	마감 좋 구요 성능 좋 고 가격 좋 아요
만족	가격 대비 하 아 성능 만족 하 고 크기 모두 만족 하 ㅂ니다 
만족	가격 대비 하 아 성능 만족 하 고 크기 모두 만족 하 ㅂ니다
좋	CPU 성능 좋 고 , 키보드 백라이트 기능 으로 인하 아 밤 에 노트북 하 기 도 좋 아요 
좋	CPU 성능 좋 고 , 키보드 백라이트 기능 으로 인하 아 밤 에 노트북 하 기 도 좋 아요
훨씬	기존 에 사용 하 던 노트북 이 오래되 시 어 인터넷 도 힘들 더라구요 ssd 업그레이 드 를 하 ㄹ려다가 구매 하 았 는데 생각 하 았 던 것 보다 훨씬 만족 스럽 ᆫ 성능 이 ㅂ니다 사전 예약 서비스 로 받 았 던 용량 과 램 업그레이드 덕분 에 훨씬 빠르 ᆫ 것 같 기 도 하 구요 
만족	기존 에 사용 하 던 노트북 이 오래되 시 어 인터넷 도 힘들 더라구요 ssd 업그레이 드 를 하 ㄹ려다가 구매 하 았 는데 생각 하 았 던 것 보다 훨씬 만족 스럽 ᆫ 성능 이 ㅂ니다 사전 예약 서비스 로 받 았 던 용량 과 램 업그레이드 덕분 에 훨씬 빠르 ᆫ 것 같 기 도 하 구요 
훨씬	기존 에 사용 하 던 노트북 이 오래되 시 어 인터넷 도 힘들 더라구요 ssd 업그레이 드 를 하 ㄹ려다가 구매 하 았 는데 생각 하 았 던 것 보다 훨씬 만족 스럽 ᆫ 성능 이 ㅂ니다 사전 예약 서비스 로 받 았 던 용량 과 램 업그레이드 덕분 에 훨씬 빠르 ᆫ 것 같 기 도 하 구요
만족	가격 대비 성능 아주 만족 하 ㅂ니다
좋	또 가격 대비 성능 이 좋 아요
좋	깔끔 하 ᆫ 디자인 에 가볍 ᆫ 무게 가 좋 은데 프리도스 상태 이 라서 아직 실 성능 을 확인 못하 아 보 았 네요
만족	무선랜 성능 을 확인 하 아 보 고 싶 은데 우선 은 만족 하 ㅂ니다
좋	그렇 면서 도 성능 면 에서 퍼지 진 않 고 깜짝 놀라 ᆫ 것 이 ᆫ 스피커 가 너무 좋 아 귀 호강 하 네요
훨씬	cpu 는 i5 - 8250 U 정도 의 성능 에 그래픽 은 그 보다 훨씬 뛰어나 고
좋	가격 대비 성능 좋 아 요 무게 도 가볍고 추천 하 ㅂ니다
만족	오랜만 에 구매 하 아서 이 ᆫ지 성능 은 만족 하 ㅂ니다
좋	성능 좋 고 가볍고 빠르 고 재 구매 의사 있 습니다
좋	아이 들 동영상 강의 용 으로 구입 하 았 는데 제 꺼 메인 노트북 보다 성능 이 좋 아요
좋	오랜만 에 노트북 구매 하 았 는데 , 가격 대비 성능 이 뛰어나 다고 생각 하 았 습니다만 , 막상 받 아 보 니 디자인 도 좋 네요
좋	레노버 노트북 s 340 - 140 모델 첫 느낌 은 가볍 어서 ㅎ ㅠ 대 가 편하 다 이 이 ㅂ니다 동작 성능 은 ssd 이 므로 부팅 빠르 고 느리 다는 느낌 없이 한마디 로 가성비 좋 다 이 ㅂ니다 망설이 지 말 고 선택 하 면 되 ㅂ니다
만족	혹시 우려 하 았 던 불량 이나 , 이런 것 없 고 , 성능 , 가격 , 배송 모두 만족 하 ㅂ니다
매우	또한 CPU 성능 이 인텔 보다 저렴 하 면서 성능 은 약간 높 은 것 을 벤치 로 확인 하 았 고 , 구입 하 ᆫ 현재 매우 만족 하 고 있 음 
만족	또한 CPU 성능 이 인텔 보다 저렴 하 면서 성능 은 약간 높 은 것 을 벤치 로 확인 하 았 고 , 구입 하 ᆫ 현재 매우 만족 하 고 있 음
좋	대학생 들 이 쓰 기 에 저렴 하 게 좋 은 성능 의 노트북 이 에요
빠릿빠릿	성능 은 부팅 까지 25 초 내외 이 이 며 아직 사용 초기 이 라 빠릿빠릿 하 네요
좋	성능 좋 고 동영상 인터넷 하 는데 차 고 넘치 네요 다만 레노버 는 처음 이 ᆫ데 접지 가 안되 어서 전류 가 흐르 ㅂ니다
만족	배송 완료 ㅎ ㅜ 약 3 일 간 테스트 결과 아주 만족 스럽 ᆫ 성능 이 ㅂ니다
좋	뽑 기운 이 안 좋 았 던 것 같 습니다 ㅠ 나머지 마감 이나 재질 성능 은 괜찮 으나 액정 불량화소 가 눈 에 자꾸 거슬리 어 아직 은 걱정 이 네요
좋	인터넷 에서 노트북 중 에 가격대 와 성능 을 비교 하 아 가성비 가 좋 다 하 아 구매 하 았 습니다
좋	무게 도 딱 좋 구요 성능 또한 만족스럽 네요
좋	노트북 구매 로 몇 일 고민 하 았었 는 데 저렴 하 ᆫ 가격 에 좋 은 성능 의 노트북 을 구매 하 았 습니다
좋	가성비 좋 고 디자인 성능 깔끔
만족	가격 대 성능 이 가장 만족 스럽 었 습니다
좋	자 소서 용 인강 용 사무용 으로 구매 하 았 는데 성능 너무 좋 아요
좋	배송 아주 빠르 었 습니다 생각 보다 되 게 성능 이 좋 아서 놀라 았 습니다 가성비 좋 고 휴대 하 기 도 편하 ㅂ니다 잘 사용 하 겠 습니다 
좋	배송 아주 빠르 었 습니다 생각 보다 되 게 성능 이 좋 아서 놀라 았 습니다 가성비 좋 고 휴대 하 기 도 편하 ㅂ니다 잘 사용 하 겠 습니다
대만족	노트북 성능 은 전체 적 으로 대만족 , 여러 노트북 을 알아보 던 중 , 가격 대비 성능 우수 하 ㅂ니다
좋	좋 은 가격 에 좋 은 성능 인 것 같 네요 잘 쓸 게 이 어 : ) 
좋	좋 은 가격 에 좋 은 성능 인 것 같 네요 잘 쓸 게 이 어 : )
좋	겉면 이 지문 이 잘 묻 어서 아쉽 기 는 하지만 노트북 성능 이랑 내부 는 너무 좋 아서 잘 산 것 같 아요
좋	이 제품 이 가격 대비 성능 이 좋 다고 추천 받 아 구매 하 았 는데 부팅속도 도 빠르 고 좋은것 같 습니다
만족	가격 대비 성능 만족 하 ㅂ니다
좋	사실 비슷 하 ᆫ 가격대 비슷 하 ᆫ 성능 의 노트북 , 즉 대 체재 가 제조사 별로 다수 존재 하 아서 선택 하 는데 고민 이 많 았 으나 받 아 보 고 레노버 로 선택 하 기 ㄹ 잘 하 았 다는 생각 이 들 네요 asus 비보 북 과 끝 까지 고민 하 았 는데 결국 백라이트 키보드 에서 레노버 손 을 들 었 습니다 성능 이나 가격 이나 너무 마음 에 들 고 빌드 퀄리티 또한 이 가격대 에서 보 기 드물 게 아주 좋 습니다 라 이제 ᆫ 덕분 에 가성비 좋 은 노트북 을 구매 하 게 되 ᆫ 것 같 네요 
좋	사실 비슷 하 ᆫ 가격대 비슷 하 ᆫ 성능 의 노트북 , 즉 대 체재 가 제조사 별로 다수 존재 하 아서 선택 하 는데 고민 이 많 았 으나 받 아 보 고 레노버 로 선택 하 기 ㄹ 잘 하 았 다는 생각 이 들 네요 asus 비보 북 과 끝 까지 고민 하 았 는데 결국 백라이트 키보드 에서 레노버 손 을 들 었 습니다 성능 이나 가격 이나 너무 마음 에 들 고 빌드 퀄리티 또한 이 가격대 에서 보 기 드물 게 아주 좋 습니다 라 이제 ᆫ 덕분 에 가성비 좋 은 노트북 을 구매 하 게 되 ᆫ 것 같 네요
만족	가격 성능 모두 만족 스럽 ᆫ 제품 이 ㅂ니다
좋	가격 대비 성능 은 정말 좋 은데 레노버 가 꼭 한가지 씩 아쉽 네요
좋	성능 은 현존 하 는 노트북 에서 가성비 가 좋은 것 같 습니다 주 변 지인 들 에게 도 추천 하 아 주 ᆯ 만큼 좋 네요
만족	처음 에 그래픽 드라이버 이 니 뭐 이 니 이것저것 설치 하 느라 애 좀 먹 었 지만 가격 대비 너무 만족 스럽 ᆫ 성능 이 ㅂ니다
만족	이번 에 더블 더블 업그레이드 도 받 아서 솔직히 이만한 가격 에 이만한 성능 못 구하 ᆯ 것 같 아요 너무 만족 하 ㅂ니다
좋	레노버 에 라 이제 ᆫ 은 또 처음 이 라 걱정 많이 하 았 는데 가격 대비 성능 이 무척 좋 아 만족 하 ㅂ니다 
만족	레노버 에 라 이제 ᆫ 은 또 처음 이 라 걱정 많이 하 았 는데 가격 대비 성능 이 무척 좋 아 만족 하 ㅂ니다
좋	인강 하고 수행평가 하 라고 이번 에 바꾸 어 주 었 는데 예전 꺼 에 비하 아 성능 이 좋 아 만족 하 네요 
만족	인강 하고 수행평가 하 라고 이번 에 바꾸 어 주 었 는데 예전 꺼 에 비하 아 성능 이 좋 아 만족 하 네요
만족	레노버 는 처음 사 았 는데 가격대 성능 너무 만족 하 ㅂ니다
좋	가볍 ᆫ 노트북 을 가지 고 싶 어 휴대용 으로 구매 하 았 으나 성능 이 좋 아 너무 놀라 았 습니다 강추 하 ㅂ니다
