PNword	review
대비	기다리 는 시간 이 있 기 는 하 았 지만 , 가격 대비 하 아서 완전 만족스럽 네요
대비	빅스 때 사 았 는데 가격 대비 괜찮 네요
대비	가격 대비 너무 좋 네요 
좋	가격 대비 너무 좋 네요
만족	가격 성능 모두 다 만족 스럽 었 습니다
대비	노트북 은 가격 대비 로 는 괜찮 은 것 같 네요
대비	무게 는 가볍 지 도 무겁지 도 않 은 정도 고 성능 은 당연히 가격 대비 아주 좋 습니다 
좋	무게 는 가볍 지 도 무겁지 도 않 은 정도 고 성능 은 당연히 가격 대비 아주 좋 습니다
마음	제품 디자인 가격 성능 다 마음 에 들 지만 배송 에서 다 깎 아 먹 네요 해외 직구 보다 도 훨 싸 아 오래 걸리 니 주문 하 ᆫ지 보름 만 에 받 았 습니다
저렴	저렴 하 ᆫ 가격 을 보 고 살 ᆫ지라 당연 하 ᆫ 것 하 겠 죠
좋	ㄷ ㄷ ㄷ ㄷ 무게 는 살짝 아쉽 지만 가격 생각 하 면 좋 습니다
저렴	초 딩 아이 한테 필요 하 아서 가볍고 , 사이즈 작 고 , 저렴 하 ᆫ 가격 으로 적당 하 게 잘 산 것 같 아요
저렴	4 일 에 시키 었 고 15 일 부터 순차 발송 이 라 그래서 배송 기가 ㄴ 넉넉히 생각 하 고 신경 안 쓰 고 살 다가 워낙 사양 에 비하 아 저렴 하 ᆫ 가격 에 혹시나 더 늦어지 지 않 을까 하 고 중간 에 연락 하 았 는데 내 가 원하 는 날 전 까지 받 아 보 ᆫ다 그렇 었 음 그런데 불안 하 ᆫ 예감 은 틀리 지 않 는 것 이 ᆫ지 더 늦어지 ㄴ다고 그럼 입고 가 늦추 어 지 었 다고 ㅡ ㅡ
훌륭	외관 을 보 면 이 가격 이 라 믿 을 수 없 을 만큼 훌륭 하 ㅂ니다
저렴	가격 은 저렴 하 ᆫ데
대비	무게 는 아쉽 지만 가격 대비 정말 괜찮 은 듯
좋	좋 은 제품 좋 은 가격 으로 구매 하 게 되 어서 정말 감사합니다 
좋	좋 은 제품 좋 은 가격 으로 구매 하 게 되 어서 정말 감사합니다
행사	행사 가 적용 하 아서 가격 도 매우 저렴 하 고 가격 대비 크기 나 무게 도 만족 하 ᆯ 만 하 ᆫ 수준 이 ㅂ니다 
저렴	행사 가 적용 하 아서 가격 도 매우 저렴 하 고 가격 대비 크기 나 무게 도 만족 하 ᆯ 만 하 ᆫ 수준 이 ㅂ니다 
대비	행사 가 적용 하 아서 가격 도 매우 저렴 하 고 가격 대비 크기 나 무게 도 만족 하 ᆯ 만 하 ᆫ 수준 이 ㅂ니다 
만족	행사 가 적용 하 아서 가격 도 매우 저렴 하 고 가격 대비 크기 나 무게 도 만족 하 ᆯ 만 하 ᆫ 수준 이 ㅂ니다
좋	결론 적 으로 는 이 가격 에 정말 좋 은 제품 인 것 은 분명 하 ㅂ니다
대비	가격 대비 만족 하 지만 아쉽 ᆫ 부분 이 있 네요 
만족	가격 대비 만족 하 지만 아쉽 ᆫ 부분 이 있 네요
저렴	가격 도 저렴 하 고 배송 도 예정 보다 일찍 오 고 업그레이드 도 잘 되 어서 오 았 네요
만족	실버 굉장히 영롱 하 네요 , 그리고 화면 이 좀 몽 텅 구리 하 ᆫ데 이런 가격 에 그것 까지 바라 ᆯ 수 ᆫ 없 겠 더라구요 , 알 고 살 ᆯ거라 만족 하 ㅂ니다
좋	대박 이 가격 에 노트북 너무 좋 아요
행사	행사 가격 으로 잘 사 았 습니다
대비	가격 대비 쓰 ᆯ 만 하 ㅂ니다
대비	가격 대비 만족 이 ㅂ니다 
만족	가격 대비 만족 이 ㅂ니다
마음	5 인치 저장장치 , 우수 하 ᆫ 키감 , 라 이제 ᆫ 3500 U 등 제 가 필요 하 ᆫ 것 들 이 다 포함 되 어 있 고 가격 은 40 만 원 대 라는 것 마음 에 드 ㅂ니다
대비	휴대 및 무게 도 적당 하 고 가격 대비 만족 하 ㅂ니다 [ G마켓 안드로이드 앱 에서 작성 ] 
만족	휴대 및 무게 도 적당 하 고 가격 대비 만족 하 ㅂ니다 [ G마켓 안드로이드 앱 에서 작성 ]
대비	가격 대비 좋 습니다 
좋	가격 대비 좋 습니다
좋	이 가격 에 나오 ᆯ 수 없 는 퀄리티 의 노트북 이 ㅂ니다 너무 좋 아요 강 추 드리 ㅂ니다
대비	가격 대비 굿 굿 이 ㅂ니다 
굿	가격 대비 굿 굿 이 ㅂ니다 
굿	가격 대비 굿 굿 이 ㅂ니다
대비	가격 대비 디자인 도 깔끔 하 고 가볍 네요
대비	가격 대비 최상급 이 ㅂ니다
좋	ㄷㄷ 한 이 가격 으로 ᆫ 더 좋 을 수 가 없 는 구성 이 ㅂ니다 구매 ㅎ ㅜ 대만족 중 이 ㅂ니다 속도 무게 디자인 뭐 하나 빠지 는게 없 네요 게임 도 캐 엊 ㅠ 얼 하 ᆫ 게임 들 은 충분히 돌아가 는 사양 이 ㅂ니다 제대로 강추 하 ㅂ니다
만족	이 가격 에 이 정도 제품 이 면 만족 스럽 ᆫ 것 같 습니다
저렴	저렴 하 ᆫ 가격 에 훌륭 하 ᆫ 성능 과 디자인 완전 만족 하 ㅂ니다 
훌륭	저렴 하 ᆫ 가격 에 훌륭 하 ᆫ 성능 과 디자인 완전 만족 하 ㅂ니다 
만족	저렴 하 ᆫ 가격 에 훌륭 하 ᆫ 성능 과 디자인 완전 만족 하 ㅂ니다
대비	가격 대비 물건 괜찮 은 것 같 아요
저렴	저렴 하 ᆫ 가격 에 성능도 너무 좋 아요 
좋	저렴 하 ᆫ 가격 에 성능도 너무 좋 아요
좋	타임 딜 로 아주 좋 은 가격 에 구매 하 았 습니다
좋	디자인 이쁘 고 크기 도 적당 하 고 가격 과 성능도 아주 좋 으 네요
대비	가격 대비 외관 도 탄탄 하 어 보이 고 좌우 베젤 은 슬림 하 아 집중 하 지 좋 아요 
좋	가격 대비 외관 도 탄탄 하 어 보이 고 좌우 베젤 은 슬림 하 아 집중 하 지 좋 아요
좋	부팅속도 보고 빠르 고 이 가격 에 이 사양 의 노트북 을 구매 하 ᆯ 수 있 다니 너무 좋 아요
가성비	가격 보다 넘쳐나 는 제품 사양 과 이벤트 가 가성비 를 최고 로 높이 네요
