PNword	review
좋	좋 은 제품 빠르 ᆫ 배송 감사합니다
만족	제품 도 양품 에 불량 없이 , 한번 에 win 10 중 깔끔 하 게 설치 되 어 만족 하 구요
좋	싸 고 좋 네요 가성비 제품 이 이 ㅂ니다 알반 적 인 용도 로 사용 하 기 에 부족 하 ᄆ 없 습니다
좋	디렘 이 없 는게 아쉽 지만 그래도 기존 중국산 SSD 보다 는 신뢰성 있 는 제품 이 들어가 ᆫ 것 같 아서 좋 네요 프 ᆯ 루이 드 모션 도 적용 잘 되 고 , 영상 볼 때 나 웹서핑 시 소음 없이 매우 조용 하 ㅂ니다 이만 하 면 가성비 는 정말 좋 은 것 같 습니다 
좋	디렘 이 없 는게 아쉽 지만 그래도 기존 중국산 SSD 보다 는 신뢰성 있 는 제품 이 들어가 ᆫ 것 같 아서 좋 네요 프 ᆯ 루이 드 모션 도 적용 잘 되 고 , 영상 볼 때 나 웹서핑 시 소음 없이 매우 조용 하 ㅂ니다 이만 하 면 가성비 는 정말 좋 은 것 같 습니다
만족	기대 이상 이 ㅂ니다 제품 마 감도 만족 하 ㅂ니다
좋	좋 은 제품 저렴 하 게 구매 하 았 어요
만족	제품 무게 나 사용감 등 모두 만족 하 ㅂ니다
만족	늦 었 지만 제품 은 만족 하 ᄆ
좋	좋 은 제품 좋 은 가격 으로 구매 하 게 되 어서 정말 감사합니다 
좋	좋 은 제품 좋 은 가격 으로 구매 하 게 되 어서 정말 감사합니다
좋	새 제품 이 니 좀 더 조심히 다루 어 주 시 었 으면 좋 았 겠 습니다
좋	결론 적 으로 는 이 가격 에 정말 좋 은 제품 인 것 은 분명 하 ㅂ니다
좋	제품 은 빠리 ㅅ 하 이 고 좋 습니다
좋	가성비 는 좋 습니다 ram 을 내장 에서 잡아먹 는게 좀 아쉽 네요 cpu - z 에서 제조사 상세 정보 가 안 나오 는데 어디 제품 이 ᆫ지 궁금 하 ㅂ니다
만족	윈도우 를 여러 번 설치 하 느라 고생 은 좀 하 았 지만 , 불량 없 는 제품 이 ㅁ 을 확인 하 ᆫ ㅎ ㅜ 에 는 상당히 만족
좋	덕분 에 좋 은 제품 얻 어 가 ㅂ니다
좋	예상 배송 보다 빨리 받 앗 구요 제품 좋 네요
만족	배송 도 빠르 고 제품 도 너무 만족 하 ㅂ니다
가볍	lg 그램 14 년대 제품 쓰 었 는데 아무래도 연식 도 되 고 하 아서 그렇 ᆫ지 가볍 기 ᆫ 하나 빠리 ㅅ 한 느낌 이나 펜 문제 도 있 고 하 어 이참 에 갈아타 ㅆ 습니다
가볍	오늘 방문 수령 하 어 윈도우 설치 하 아서 사용 중 이 ᆫ데 너무 만족스럽 네요 부팅 속도 는 제 가 쓰 어 보 ᆫ 노트북 중 가장 빠르 ㅂ니다 ( 5 초 정도 ) 무게 도 가볍 다라고 하 ᆯ 수 는 없 지만 그래도 가방 에 넣 어도 부담 스럽 지 않 을 정도 에 요 마 감도 만족스럽 고 특히 블루 색상 이 이쁘 네요 배터리 시간 은 더 쓰 어 보 아야 알 겠 지만 보통 문서 작업 만 하 면 완충 하 면 하루 정도 는 무난 하 게 사용 하 ᆯ 수 있 을 것 같 아요 이 ᆫ 가격대 노트북 중 이 제품 이 제일 좋은 것 같 아서 기분 이 좋 네요 많이 파 시 어요 
좋	오늘 방문 수령 하 어 윈도우 설치 하 아서 사용 중 이 ᆫ데 너무 만족스럽 네요 부팅 속도 는 제 가 쓰 어 보 ᆫ 노트북 중 가장 빠르 ㅂ니다 ( 5 초 정도 ) 무게 도 가볍 다라고 하 ᆯ 수 는 없 지만 그래도 가방 에 넣 어도 부담 스럽 지 않 을 정도 에 요 마 감도 만족스럽 고 특히 블루 색상 이 이쁘 네요 배터리 시간 은 더 쓰 어 보 아야 알 겠 지만 보통 문서 작업 만 하 면 완충 하 면 하루 정도 는 무난 하 게 사용 하 ᆯ 수 있 을 것 같 아요 이 ᆫ 가격대 노트북 중 이 제품 이 제일 좋은 것 같 아서 기분 이 좋 네요 많이 파 시 어요
만족	알 는 분 이 쓰 시 ᆫ다고 하 시 어서 이 제품 권하 아 드리 고 구매 하 아 드리 었 더니 넘 ㅜ 만족 하 아 하 시 ㅂ니다
좋	라 이제 ᆫ 제품 은 처음 이 지만 동급 i5 에 비하 아 그래픽 성능 이 2 배 좋 다고 하 아서 구입 하 았 습니다
좋	제품 : 사무용 으로 사용 하 지 아주 좋 습니다
좋	제품 아주 좋 습니다
만족	이 가격 에 이 정도 제품 이 면 만족 스럽 ᆫ 것 같 습니다
좋	직접 뜯 어서 업그레이드 하 시 는 분 들 은 레노버 제품 이 좋 을 것 같 더라구요
만족	최대 밝 기가 고가 제품 에 비하 아 약간 어둡 ᆫ 편 이 기 ᆫ 하지만 , 가성비 노트북 이 ㅁ 을 감안 하 면 만족 하 ㅂ니다
좋	레노버 제품 이 가성비 가 좋 다고 하 아서 계속 살펴보 다가 구매 하 았 습니다
좋	타임 딜 구입 하 았 는데 저렴 하 게 좋 은 제품 잘 사 았 어요
좋	좋 은 제품 싸 ᆫ 가격 에 감사합니다
좋	배송 도 빠르 고 제품 도 좋 아요
좋	처음 레노버 제품 을 사용 하 는데 가성비 는 좋 은 것 같 습니다 다만 팬 소음 이 심하 네요
좋	게다가 더블 업 주문 을 하 았 는데 좋 은 제품 이 장착 이 되 었 네요
좋	노트북 가격 대비 좋 은 제품 인 것 같 습니다
좋	제품 디자인 마감 둘 이 다 좋 고 가격 대비 성능 이 좋 아요 
좋	제품 디자인 마감 둘 이 다 좋 고 가격 대비 성능 이 좋 아요
문제 없이	도스 제품 이 라 오 자마자 윈도우 설치 하 아 보 았 는데 아무 문제 없이 잘 돌아가 고 와이파이 랑 skype 다 빵빵 하 ㅂ니다
가볍	레노버 제품 이 라 저렴 하 기 도 하 고 , 무엇 보다 도 다른 제품 보다 는 가볍 어서 이 제품 을 구매 하 았 습니다
좋	좋 은 가격 에 제품 을 구하 ᆯ 수 있 어서 ,
만족	딸 이 사달라 고 고르 아 주 ᆫ 제품 이 ᆫ데 저렴 하 ᆫ 가격 에 , 빠르 ᆫ 배송 에 만족 이 ㅂ니다
좋	그간 데스크탑 회사 에서 주 ᆫ 노트북 만 쓰 었 는데 이제 ᆫ 내 개인 용 노트북 이 있 어야겠 단 생각 에 게임 도 안 하 는 내 게 가장 적당 하 ᆫ 가격 에 가성비 좋 은 제품 이 뭐 ㄹ까 찾 다 이 녀석 을 찾 았 다 일단 AMD 는 이전 데스크탑 에서 도 쓰 어 보 ᆫ 경험 이 있 었 기 에 크게 신경 쓰 지 않 았 고 램 , HDD , SSD 업글 예 판 이 라는 것 끌리 어 주문 하 았 는데 받 자마자 박스 뜯 고 보 ᆫ 첫 느낌 은 음 좋 아 
좋	그간 데스크탑 회사 에서 주 ᆫ 노트북 만 쓰 었 는데 이제 ᆫ 내 개인 용 노트북 이 있 어야겠 단 생각 에 게임 도 안 하 는 내 게 가장 적당 하 ᆫ 가격 에 가성비 좋 은 제품 이 뭐 ㄹ까 찾 다 이 녀석 을 찾 았 다 일단 AMD 는 이전 데스크탑 에서 도 쓰 어 보 ᆫ 경험 이 있 었 기 에 크게 신경 쓰 지 않 았 고 램 , HDD , SSD 업글 예 판 이 라는 것 끌리 어 주문 하 았 는데 받 자마자 박스 뜯 고 보 ᆫ 첫 느낌 은 음 좋 아
좋	좋 은 제품 싸 ᆫ 가격 에 잘 산 것 같 아서 좋 네요 
좋	좋 은 제품 싸 ᆫ 가격 에 잘 산 것 같 아서 좋 네요
좋	좋 은 제품 구매 하 았 습니다
좋	좋 은 가격 에 원하 던 제품 을 구매 하 ᆯ 수 있 어서 기쁘 네요
좋	제품 은 좋 습니다
좋	배송 도 빠르 고 제품 도 좋 네요
좋	되 게 배송 도 빠르 고 설치 하 아 보 니 너무 좋 네요 좋 은 제품 보내주 시 어서 감사합니다 
좋	되 게 배송 도 빠르 고 설치 하 아 보 니 너무 좋 네요 좋 은 제품 보내주 시 어서 감사합니다
좋	제품 이 너무 좋 네요
만족	하 단배 젤 이 조금 크 ᆫ게 흠 이 지만 너무 만족 스럽 ᆫ 제품 이 ㅂ니다
좋	타사 비슷 하 ᆫ 제품 에 비하 아 상판 이 알루미늄 이란 점 , 그리고 배터리 용 랑 이 크 ᆫ 게 좋 습니다
좋	좋 은 제품 감사합니다
좋	가성비 로 유명 하 ᆫ 제품 이 ᆫ데 역시 나 좋 습니다
만족	여 틀 ᆫ 제품 자체 는 매우 만족 스럽 습니다
좋	좋 은 제품 싸게 사 게 하 아 주 시 어서 너무 감사합니다
좋	리얼 가성비 는 정말 좋 은 제품 인 것 같 습니다
좋	추석 에 주문 하 아서 배송 이 조금 지연 되 었 지만 가격 대비 좋 은 제품 받 았 습니다
좋	이 가격 에 이런 제품 을 사용 하 ᆯ 수 있 어 좋 습니다
만족	제품 사양 디자인 모두 만족 하 ㅂ니다 많이 파 시 어요
좋	좋 은 제품 잘 쓰 겠 습니다
좋	가성비 모델 이 ᄆ 에 도 디자인 도 예쁘 고 , 성능도 좋 고 , 배터리 까지 오래가 는 제품 이 ㅂ니다
좋	저렴 하 게 좋 은 제품 구매 하 았 네요
좋	좋 은 제품 램 8 기가 ssd 256 기가 로 업글 하 아서 잘 받 았 습니다
좋	중 이 고 알아보 다가 이 제품 을 알 게 되 어서 구매 하 았 는데 가성비 완전 좋 아요
만족	아서 쉽 게 처리 받 음 제품 은 만족 스럽 어요 그레이 안 되 어서 아쉬움
만족	마음 에 들 는 제품 을 구매 하 게 되 어서 만족 하 ㅂ니다
좋	이벤트 기간 에 좋 은 제품 을 저렴 하 게 구매 하 아서 만족 하 ㅂ니다 
만족	이벤트 기간 에 좋 은 제품 을 저렴 하 게 구매 하 아서 만족 하 ㅂ니다
좋	처음 레노버 노트북 제품 을 구매 하 았 는데 , 40 만 원대 제품 이 ᄆ 에 도 마감 이 깔끔 하 아서 그렇게 저렴 하 어 보이 지 않 아서 좋 아요
만족	제품 품질 , 사용 속도 모두 만족 하 ㅂ니다
좋	이전 에 는 삼성 제품 만 쓰 었 었 는데 , 디자인 도 나쁘 지 않 고 마감 처 러 도 좋 네요
문제 없이	배송 도 빠르 고 제품 도 os 설치 하 ᆯ 때 빠르 게 문제 없이 설치 되 네요
만족	매우 만족 하 는 제품 이 ㅂ니다
좋	에이서 제품 쓰 다가 가성비 좋 다고 하 아서 넘어오 았 습니다
좋	고민 을 많이 하 고 구입 하 ᆫ 제품 이 ᆫ데 그만큼 좋 은 제품 이 라 만족 하 고 있 어요 
만족	고민 을 많이 하 고 구입 하 ᆫ 제품 이 ᆫ데 그만큼 좋 은 제품 이 라 만족 하 고 있 어요
만족	매우 만족 하 는 제품 이 ㅂ니다
좋	인터넷 , 동영상 강의 및 문서작업 용 으로 집 에서 사용 하 ᆯ 것 을 찾 던 중 좋 은 가격 에 좋 은 제품 을 구입 하 았 네요 사용 중 이 ᆫ데 아직 문제 는 없 는 것 같 구요 
좋	인터넷 , 동영상 강의 및 문서작업 용 으로 집 에서 사용 하 ᆯ 것 을 찾 던 중 좋 은 가격 에 좋 은 제품 을 구입 하 았 네요 사용 중 이 ᆫ데 아직 문제 는 없 는 것 같 구요
좋	저렴 하 ᆫ 가격 에 좋 은 제품 이 이 ㅂ니다
좋	가성비 좋 은 제품 으로 후기 평 들 도 좋 아 구매 하 았 는데 , 윈도우 설치 ㅎ ㅜ 아직 충분 하 ᆫ 사용 을 해보 지 는 못하 았 지만 , 어느 정도 만족스럽 습니다 
좋	가성비 좋 은 제품 으로 후기 평 들 도 좋 아 구매 하 았 는데 , 윈도우 설치 ㅎ ㅜ 아직 충분 하 ᆫ 사용 을 해보 지 는 못하 았 지만 , 어느 정도 만족스럽 습니다
좋	가성비 좋 은 제품 같 습니다
좋	좋 은 제품 이 네요
문제없	키보드 는 백라이트 2 단계 까지 조정 가능 하 아서 불 끄 고 타이핑 하 는데 문제없 고 카메라 도 요새 해킹 있 다고 하 는데 가리 ᆯ 수 있 게 되 어 있 습니다 , 화면 도 180 중 까지 펼치 ᆯ 수 있 어서 보 는 각도 에 따르 아 맘대로 조절 가능 하 ㅂ니다 유선 랜포트 는 없 고 굳이 유선 랜포트 가 필요 하 시 면 1 - 2 만 원주 이 고 usb lan 포트 사 아서 쓰 시 면 되 ㅂ니다 더 좋 은 노트북 많 겠 지만 이 가격 에 는 최상 의 제품 이 아니 ᆫ가 하 ㅂ니다 
좋	키보드 는 백라이트 2 단계 까지 조정 가능 하 아서 불 끄 고 타이핑 하 는데 문제없 고 카메라 도 요새 해킹 있 다고 하 는데 가리 ᆯ 수 있 게 되 어 있 습니다 , 화면 도 180 중 까지 펼치 ᆯ 수 있 어서 보 는 각도 에 따르 아 맘대로 조절 가능 하 ㅂ니다 유선 랜포트 는 없 고 굳이 유선 랜포트 가 필요 하 시 면 1 - 2 만 원주 이 고 usb lan 포트 사 아서 쓰 시 면 되 ㅂ니다 더 좋 은 노트북 많 겠 지만 이 가격 에 는 최상 의 제품 이 아니 ᆫ가 하 ㅂ니다
비싸	물론 같 은 모델 에 인텔 cpu 제품 도 있 지만 가격 이 더 비싸 ᆫ데다 전용 그래픽 칩 도 따로 없 어서 매리트 가 떨어지 고 성능도 아마 이 제품 ( amd cpu ) 보다 못하 ᆫ 듯 하 ㅂ니다
좋	이틀 정도 사용 중 이 ᆫ데 배송 도 하루 만 에 오 고 , 제품 마 감도 좋 습니다
좋	그리고 이 제품 에 대하 ᆫ 베터리 평 이 좋 아 선택 하 ᆫ 부분 도 있 네요
만족	제품 상태 도 만족 하 고 배송 도 안전하게 잘 도착 하 ᆫ 것 같 습니다
좋	또 주문 바로 다음날 제품 이 도착 하 아서 너무 좋 았 네요
좋	더블 더블 업 도 되 고 빠르 고 좋 아요 제품 도 깔끔 하 ㅂ니다
만족	제품 은 매우 만족 하 ㅂ니다
만족	제품 은 매우 만족 하 ㅂ니다
좋	꽤나 무겁지 만 가성비 좋 기 로 유명 하 ᆫ 제품 이 니 잘 쓰 어 보 겠 습니다 색깔 은 예쁘 ᆫ 것 같 아요 생각 보다 정말 무겁 니 무겁 ᆫ 것 싫 으시 ᆫ 분 들 은 고민 하 아 보 시 어야 하 ᆯ 것 에 요
좋	제품 은 좋 습니다
만족	제품 상태 완전 만족 하 고 잘 쓰 겠 습니다
좋	제품 이야 좋 다는 소문 이 많 아서 메모리 만 추가 하 았 습니다
좋	배송 도 만족스럽 며 , 제품 퀄리티 및 자 팡 키감 도 휼륭 하 ㅂ니다 가성비 좋 네요
