PNword	review
느리	배송 이 많이 느리 기 ᆫ 하 았 지만 무사히 업글 되 어서 오 았 고 외관 상태 도 좋 습니다
늦	배송 이 늦 은 것 빼 고 는 만족 하 ㅂ니다
빠르	좋 은 제품 빠르 ᆫ 배송 감사합니다
만	11 월초 에 특가 세일 하 ᆯ 때 39 만 정도 에 구매 하 았 는디 배송 이 한 3 주 걸리 어서 그렇 ㅆ 지 가 아서 이 는 진짜 최고 이 ㅂ니다 
걸리	11 월초 에 특가 세일 하 ᆯ 때 39 만 정도 에 구매 하 았 는디 배송 이 한 3 주 걸리 어서 그렇 ㅆ 지 가 아서 이 는 진짜 최고 이 ㅂ니다
느리	배송 이 좀 느리 어서 그렇 지
늦	배송 이 많이 늦 었 지만 제품 은 괜찮 아요
늦	배송 은 좀 늦 었 지만 예상 못하 ᆯ 정도 로 인 기가 많 아서 그렇 시 었 으리라 이해 하 고 잘 쓰 겠 습니다 
예상	배송 은 좀 늦 었 지만 예상 못하 ᆯ 정도 로 인 기가 많 아서 그렇 시 었 으리라 이해 하 고 잘 쓰 겠 습니다
늦	배송 이 좀 늦 긴 하 았 는데 그래도 물건 이 넘 ㅜ 조 ㅎ 네 이 어
걸리	배송 은 16 일 걸리 었 습니다
늦	배송 은 늦 었 지만
만	배송 만 빼 고 는 가성비 최고 에 요
느리	주문 이 몰리 ᆫ 만큼 배송 은 느리 었 지만 기다리 ᆫ 보람 은 있 네요
느리	그런데 , 배송 이 느리 어도 너무 느리 게 오 았 네요 
느리	그런데 , 배송 이 느리 어도 너무 느리 게 오 았 네요
느리	배송 느리 어요
지연	단지 이벤트기간 이 라 감안 하 아도 업체 가 약속 하 ᆫ 배송 기간 에서 10 일정 도 지연 되 어 아쉽 었 습니다 
아쉽	단지 이벤트기간 이 라 감안 하 아도 업체 가 약속 하 ᆫ 배송 기간 에서 10 일정 도 지연 되 어 아쉽 었 습니다
느리	하지만 배송 이 좀 느리 엇 다는 것 빼 고 는 다 만족 하 ㅂ니다
늦	하 ᆯ 인 기간 에 구매 하 아서 주문량 폭주 로 배송 을 늦 게 받 긴 하 았 는데 , ？ 이 고 나 니 만족 하 게 잘 쓰 고 있 어요
만	올 스마일데이 첫날 예약 구매 하 았 지만 11 월 25 일 수령 하 았 네요 다행히 스 크 레 치 없이 램 추가 되 어 안전하게 배송 되 었 네요 몇 년 만 에 윈도우 설치 하 려 보 니 이것저것 검색 하 아서 잘 설치 완료 부팅 완전 빠르 게 시작 되 네요 기존 사용 하 던 노트북 패널 이 안 좋 아 모든 게 좋 게 느껴지 ㅂ니다 
빠르	올 스마일데이 첫날 예약 구매 하 았 지만 11 월 25 일 수령 하 았 네요 다행히 스 크 레 치 없이 램 추가 되 어 안전하게 배송 되 었 네요 몇 년 만 에 윈도우 설치 하 려 보 니 이것저것 검색 하 아서 잘 설치 완료 부팅 완전 빠르 게 시작 되 네요 기존 사용 하 던 노트북 패널 이 안 좋 아 모든 게 좋 게 느껴지 ㅂ니다
늦	박스 가 아깝 었 나 에어캡 포장 3 겹 에 배송 은 신 차 뽑 을 때 보다 늦 게 나오 고 최악 이 ᄆ
오래	제품 디자인 가격 성능 다 마음 에 들 지만 배송 에서 다 깎 아 먹 네요 해외 직구 보다 도 훨 싸 아 오래 걸리 니 주문 하 ᆫ지 보름 만 에 받 았 습니다 
걸리	제품 디자인 가격 성능 다 마음 에 들 지만 배송 에서 다 깎 아 먹 네요 해외 직구 보다 도 훨 싸 아 오래 걸리 니 주문 하 ᆫ지 보름 만 에 받 았 습니다 
만	제품 디자인 가격 성능 다 마음 에 들 지만 배송 에서 다 깎 아 먹 네요 해외 직구 보다 도 훨 싸 아 오래 걸리 니 주문 하 ᆫ지 보름 만 에 받 았 습니다
아쉽	배송 이 아쉽 지 제품 은 가성비 짱 이 ᄆ
느리	다 좋 은데 배송 이 너무 느리 고 화면 이 13인치 와 차이 가 없 다
걸리	빅스마일데이 끼 아서 물량 이 많이 나가 았 는지 배송 이 2 주정 도 걸리 었 습니다
느리	설치 하 ᆯ 때 gpt 형식 이 아니 래서 헷갈리 었 던 것 랑 배송 느리 ᆫ 것 빼 고 는 아주 만족 하 ㅂ니다
느리	배송 이 매우 느리 었 던 것 만 빼 면 품질 은 만족 하 ㅂ니다 
만	배송 이 매우 느리 었 던 것 만 빼 면 품질 은 만족 하 ㅂ니다
오래	배송 은 정말 오래 걸리 었 고 설치 하 ᆯ 때 좀 헤매 었 는데 설치 잘 하 고 업데이트 중 이 ㅂ니다 
걸리	배송 은 정말 오래 걸리 었 고 설치 하 ᆯ 때 좀 헤매 었 는데 설치 잘 하 고 업데이트 중 이 ㅂ니다
아쉽	갓 노 벌 는 갓 노 버 이 ㅂ니다 배송 은 아쉽 었 습니다
오래	해외 배송 해 도 이렇게 오래 기다리 ᆫ 적 이 없 지만
빠르	ssd 가 경악 스럽 ᄆ 일반 적 으로 쓰 ᆯ 때 ᆫ 빠르 ᆫ 척 하지만 실제 복사 같 은 것 해보 면 여기 배송 처럼 개 느리 ㅁ m 
느리	ssd 가 경악 스럽 ᄆ 일반 적 으로 쓰 ᆯ 때 ᆫ 빠르 ᆫ 척 하지만 실제 복사 같 은 것 해보 면 여기 배송 처럼 개 느리 ㅁ m
빠르	ssd 가 경악 스럽 ᄆ 일반 적 으로 쓰 ᆯ 때 ᆫ 빠르 ᆫ 척 하지만 실제 복사 같 은 것 해보 면 여기 배송 처럼 개 느리 ㅁ nvme 이 라 840 pro 보다 ᆫ 나 을 줄 알 았 는데 840 을 메인 으로 쓰 어야겠 음 그것 빼 고 는 만족 
