PNword	review
가볍	무게 는 가볍 지 도 무겁지 도 않 은 정도 고 성능 은 당연히 가격 대비 아주 좋 습니다
가볍	디자인 도 깔끔 하 고 , 무게 도 가볍 ᆫ 편 이 예요
가볍	무게 도 가볍 어서 밖 에 들 고 다니 어도 크게 부담 없 는 수준 이 ㅂ니다
무겁	무게 도 무겁 ᆫ 듯 가볍 ᆫ 듯 
가볍	무게 도 무겁 ᆫ 듯 가볍 ᆫ 듯
가볍고	디자인 도 톤 다운 되 ᆫ 네이비 색 너무 이쁘 고 무게 도 가볍고 심지어 충전기 까지 이쁘 어요
무겁	무게 도 그렇게 무겁 지 않 고 아답터 도 작 고 가볍 네요 
가볍	무게 도 그렇게 무겁 지 않 고 아답터 도 작 고 가볍 네요
가볍	상품 잘 동봉 되 어서 배송 도 빠르 고 성능 도 괜찮 네요 나름 무게 도 가볍 습니다 좋 네요
무겁	무게 도 무겁 지 않 고 속도 도 빠르 고 마음 에 들 네요
가볍	무게 도 이 정도 이 면 가볍 네요
가볍	무게 도 집 에 있 는 노트북 은 2키로 가 넘 어서 그렇 ᆫ지 가볍 게 만 느껴지 ㅂ니다 제 첫 노트북 인 만큼 잘 쓰 도록 하 겠 습니다
적당	휴대 및 무게 도 적당 하 고 가격 대비 만족 하 ㅂ니다 [ G마켓 안드로이드 앱 에서 작성 ]
가볍	오늘 방문 수령 하 어 윈도우 설치 하 아서 사용 중 이 ᆫ데 너무 만족스럽 네요 부팅 속도 는 제 가 쓰 어 보 ᆫ 노트북 중 가장 빠르 ㅂ니다 ( 5 초 정도 ) 무게 도 가볍 다라고 하 ᆯ 수 는 없 지만 그래도 가방 에 넣 어도 부담 스럽 지 않 을 정도 에 요 마 감도 만족스럽 고 특히 블루 색상 이 이쁘 네요 배터리 시간 은 더 쓰 어 보 아야 알 겠 지만 보통 문서 작업 만 하 면 완충 하 면 하루 정도 는 무난 하 게 사용 하 ᆯ 수 있 을 것 같 아요 이 ᆫ 가격대 노트북 중 이 제품 이 제일 좋은 것 같 아서 기분 이 좋 네요 많이 파 시 어요
적당	이전 에 도 레노버 를 사 아서 쓰 고 있 었 는데 고장 도 안 나 고 잘 쓰 고 있 어 이번 노트북 도 레노버 로 결정 하 았 습니다 무게 도 적당 하 고 색 도 고민 많이 하 았 는데 고급 스럽 보이 고 이 뿐 ㅔ요
가볍	무게 도 가볍 어서 좋 아요
적당	크기 도 적당 하 고 , 무게 도 가볍 어서 해외 여행 다니 ᆯ 때 도 잘 사용 하 고 오 았 습니다 
가볍	크기 도 적당 하 고 , 무게 도 가볍 어서 해외 여행 다니 ᆯ 때 도 잘 사용 하 고 오 았 습니다
가볍	디자인 도 깔끔 하 고 무게 도 가볍 ᆫ 편 이 ㅂ니다
가볍	속도 도 빠르 고 256 기가 램 12 기가 빠릿빠릿 하 고 14인치 이 어서 무게 도 가볍 네요
적당	크기 도 아담 하 고 무게 도 적당 하 ㅂ니다
가볍	14인치 이 라고 하 아서 작 다고 생각 하 았 는데 배 젤 이 작 어서 그렇 ᆫ지 의외로 알차 ᆫ 화면 이 네요 무게 도 가볍 어서 들 고 다니 기 좋 을 것 같 습니다 가성비 좋 은 노트북 찾 으시 는 분 에게 강추
적당	그리고 무게 도 적당 하 ㅂ니다
적당	그 외 에 무게 도 적당 하 고 , 화면 도 적당 하 고 , 베터리 도 오래가 아서 만족스럽 습니다 
적당	그 외 에 무게 도 적당 하 고 , 화면 도 적당 하 고 , 베터리 도 오래가 아서 만족스럽 습니다
적당	무게 도 적당 하 고 크기 도 적당 하 고 
적당	무게 도 적당 하 고 크기 도 적당 하 고
가볍고	무게 도 가볍고 사이즈 도 작 고 좋 습니다
가볍고	거진 6 - 7 년 만 에 바꾸 는 것 이 라 좋 네요 무게 도 가볍고
무겁	무게 는 생각 보다 살짝 무겁 ᆫ 감 이 없 지 는 않 지만 남성 이 쓰 기 에 는 무리 없 어 보이 ㅂ니다
무겁	9 월 12 일 구매 하 아서 19 일 수령 하 았 습니다 이 가격 에 이 정도 성능 의 노트북 이 라니 너무 마음 에 드 ㅂ니다 속도 도 빠르 고 무게 도 기존 노트북 이 워낙 무겁 어서 그렇 ᆫ지 이 노트북 은 정말 가볍 게 느껴지 ㅂ니다 
