PNword	review
설치	프리도스 프로그램 처음 쓰 어 보 았 는데 인터넷 검색 하 아서 윈도우 설치 하 았 는데 어렵 지 않 았 습니다
설치	컴맹 이 시 ᆫ 분 들 은 윈도우 설치 하 ᆯ 때 레노버 윈도우 설치 블로그 들 을 참조 하 시 길 
설치	컴맹 이 시 ᆫ 분 들 은 윈도우 설치 하 ᆯ 때 레노버 윈도우 설치 블로그 들 을 참조 하 시 길
설치	컴맹 이 라 윈도우 설치 하 느라 애 를 좀 먹 었 지만 이베이 에서 저렴 하 게 정품 구매 하 아서 잘 설치 하 았 어요 무게 가 아쉽 지만 차 가지 고 다니 ᆯ거라 괜찮 아 요 만족 하 ㅂ니다 
정품	컴맹 이 라 윈도우 설치 하 느라 애 를 좀 먹 었 지만 이베이 에서 저렴 하 게 정품 구매 하 아서 잘 설치 하 았 어요 무게 가 아쉽 지만 차 가지 고 다니 ᆯ거라 괜찮 아 요 만족 하 ㅂ니다 
설치	컴맹 이 라 윈도우 설치 하 느라 애 를 좀 먹 었 지만 이베이 에서 저렴 하 게 정품 구매 하 아서 잘 설치 하 았 어요 무게 가 아쉽 지만 차 가지 고 다니 ᆯ거라 괜찮 아 요 만족 하 ㅂ니다
설치	27 일 윈도우 설치
깔	윈도우 깔 러 가 아야 하 겟 네요
설치	1 일 주문 하 고 25 일 받 았 으니 오래 걸리 었 네요 가성비 는 좋 아서 윈도우 설치 하 고 잘 사용 중 이 ㅂ니다
설치	gpt 형식 으로 rufus 이용 하 아서 usb 에 윈도우 저장 ㅎ ㅜ 설치 하 니 별 문제없이 잘 설치 되 네요 
문제없이	gpt 형식 으로 rufus 이용 하 아서 usb 에 윈도우 저장 ㅎ ㅜ 설치 하 니 별 문제없이 잘 설치 되 네요 
설치	gpt 형식 으로 rufus 이용 하 아서 usb 에 윈도우 저장 ㅎ ㅜ 설치 하 니 별 문제없이 잘 설치 되 네요
설치	올 스마일데이 첫날 예약 구매 하 았 지만 11 월 25 일 수령 하 았 네요 다행히 스 크 레 치 없이 램 추가 되 어 안전하게 배송 되 었 네요 몇 년 만 에 윈도우 설치 하 려 보 니 이것저것 검색 하 아서 잘 설치 완료 부팅 완전 빠르 게 시작 되 네요 기존 사용 하 던 노트북 패널 이 안 좋 아 모든 게 좋 게 느껴지 ㅂ니다 
설치	올 스마일데이 첫날 예약 구매 하 았 지만 11 월 25 일 수령 하 았 네요 다행히 스 크 레 치 없이 램 추가 되 어 안전하게 배송 되 었 네요 몇 년 만 에 윈도우 설치 하 려 보 니 이것저것 검색 하 아서 잘 설치 완료 부팅 완전 빠르 게 시작 되 네요 기존 사용 하 던 노트북 패널 이 안 좋 아 모든 게 좋 게 느껴지 ㅂ니다
설치	노트북 오 자마자 1 테라 하드 장착 및 윈도우 설치 까지 잘 끝나 았 네요
설치	저 는 윈도우 대신 리눅스 를 설치 하 았 습니다
