PNword	review
크	17인치 고민 하 다가 가전 은 것 것 익선 이 라 생각 하 아서 크 ᆫ 것 사 았 어요
잘	다른 노트북 이랑 고민 하 앗 는데 사기 ㄹ 잘 하 ᆫ 것 같 습니다
좋	해외 유학 가 기 전 에 사 아 두 려고 하 았 는데 사양 좋 은 노트북 이랑 고민 고민 하 다가 이 제품 구매 하 았 습니다
좋	우선 빠르 ᆫ 배송 정말 좋 아요 cj 택배 이 어서 고민 이 많 았 는데 왠 일 이 ᆫ지 빨리 오 았 어요 몇 년 전 에 xnote 쓰 다가 2 번째 노트북 이 ᆫ데 정말 맘 에 들 어요 15 안치 랑 17인치 중 에 고민 하 았었 는데 큰맘 먹 고 17인치 로 질리 었 는데 돈 이 아깝 지 가 않 아요 그러 ㅁ 을 들 었 는데 너무 가볍 더라고요 이렇게 가볍 ᆯ 수 도 있 구나 참 잘 사 았 어요 
잘	우선 빠르 ᆫ 배송 정말 좋 아요 cj 택배 이 어서 고민 이 많 았 는데 왠 일 이 ᆫ지 빨리 오 았 어요 몇 년 전 에 xnote 쓰 다가 2 번째 노트북 이 ᆫ데 정말 맘 에 들 어요 15 안치 랑 17인치 중 에 고민 하 았었 는데 큰맘 먹 고 17인치 로 질리 었 는데 돈 이 아깝 지 가 않 아요 그러 ㅁ 을 들 었 는데 너무 가볍 더라고요 이렇게 가볍 ᆯ 수 도 있 구나 참 잘 사 았 어요
좋	15인치 그램 과 17인치 그램 중 고민 을 많이 하 었 는데 17인치 의 광할 하 ᆫ 화면 이 좋 아 보 아서 17 zd 990 - vx 50 k 를 구매 하 았 습니다
크	처음 에 는 15인치 와 17인치 그램 중 에 계속 고민 하 다가 화면 이 크 ᆫ게 좋 을 것 같 아서 17 로 사 았 는데 생각 보다 가볍고 화면 도 큼직 하 아서 사용 하 ᆯ 때 편하 ᆯ 것 같 습니다 
좋	처음 에 는 15인치 와 17인치 그램 중 에 계속 고민 하 다가 화면 이 크 ᆫ게 좋 을 것 같 아서 17 로 사 았 는데 생각 보다 가볍고 화면 도 큼직 하 아서 사용 하 ᆯ 때 편하 ᆯ 것 같 습니다
크	그램 노트북 은 처음 쓰 어 보 는데요 일단 제일 크 ᆫ 장점 은 너무 가볍 습니다 그리고 세련 되 ᆫ 디자인 진짜 이쁘 네요 때 하 다는 게 두렵 지만 잘 관리 하 아야죠 그리 고 빠릿빠릿 하 ㅂ니다 15인치 17인치 고민 하 았 는데 17인치 가 시원시원 하 고 좋 더라구요 크 기 도 15인치 가방 에 다 들어가 ᆫ다고 하 네요 같이 주 시 ᆫ 파우치 키스킨 무선마우스 도 유용 하구 요 앞 으로 노트북 을 또 살 ᆫ다면 그램 이 되 ᆯ 것 같 네요 너무 좋 습니다 
잘	그램 노트북 은 처음 쓰 어 보 는데요 일단 제일 크 ᆫ 장점 은 너무 가볍 습니다 그리고 세련 되 ᆫ 디자인 진짜 이쁘 네요 때 하 다는 게 두렵 지만 잘 관리 하 아야죠 그리 고 빠릿빠릿 하 ㅂ니다 15인치 17인치 고민 하 았 는데 17인치 가 시원시원 하 고 좋 더라구요 크 기 도 15인치 가방 에 다 들어가 ᆫ다고 하 네요 같이 주 시 ᆫ 파우치 키스킨 무선마우스 도 유용 하구 요 앞 으로 노트북 을 또 살 ᆫ다면 그램 이 되 ᆯ 것 같 네요 너무 좋 습니다 
좋	그램 노트북 은 처음 쓰 어 보 는데요 일단 제일 크 ᆫ 장점 은 너무 가볍 습니다 그리고 세련 되 ᆫ 디자인 진짜 이쁘 네요 때 하 다는 게 두렵 지만 잘 관리 하 아야죠 그리 고 빠릿빠릿 하 ㅂ니다 15인치 17인치 고민 하 았 는데 17인치 가 시원시원 하 고 좋 더라구요 크 기 도 15인치 가방 에 다 들어가 ᆫ다고 하 네요 같이 주 시 ᆫ 파우치 키스킨 무선마우스 도 유용 하구 요 앞 으로 노트북 을 또 살 ᆫ다면 그램 이 되 ᆯ 것 같 네요 너무 좋 습니다 
크	그램 노트북 은 처음 쓰 어 보 는데요 일단 제일 크 ᆫ 장점 은 너무 가볍 습니다 그리고 세련 되 ᆫ 디자인 진짜 이쁘 네요 때 하 다는 게 두렵 지만 잘 관리 하 아야죠 그리 고 빠릿빠릿 하 ㅂ니다 15인치 17인치 고민 하 았 는데 17인치 가 시원시원 하 고 좋 더라구요 크 기 도 15인치 가방 에 다 들어가 ᆫ다고 하 네요 같이 주 시 ᆫ 파우치 키스킨 무선마우스 도 유용 하구 요 앞 으로 노트북 을 또 살 ᆫ다면 그램 이 되 ᆯ 것 같 네요 너무 좋 습니다 
좋	그램 노트북 은 처음 쓰 어 보 는데요 일단 제일 크 ᆫ 장점 은 너무 가볍 습니다 그리고 세련 되 ᆫ 디자인 진짜 이쁘 네요 때 하 다는 게 두렵 지만 잘 관리 하 아야죠 그리 고 빠릿빠릿 하 ㅂ니다 15인치 17인치 고민 하 았 는데 17인치 가 시원시원 하 고 좋 더라구요 크 기 도 15인치 가방 에 다 들어가 ᆫ다고 하 네요 같이 주 시 ᆫ 파우치 키스킨 무선마우스 도 유용 하구 요 앞 으로 노트북 을 또 살 ᆫ다면 그램 이 되 ᆯ 것 같 네요 너무 좋 습니다
좋	집 에 있 는 데스크탑 과 노트북 이 오래 되 어서 타 제품 과 고민 하 던 중 에 17 그램 으로 결정 하 았 습니다 게임 도 안 하 고 인터넷 과 영화 감상 용 으로 구입 하 아서 이 ᆫ지 약간 가격 이 과 하 ᆫ 것 같 지만 가볍고 배터리 오래가 고 화 이 면 좋 고 as 까지 확실 하 게 되 는 제품 이 기 에 구입 하 기 ㄹ 잘 한 것 같 네요 숫자 하 기 까지 있 어서 사용 하 지 편 한 것 같 네요 
