PNword	review
17인치	기존 에 15인치 쓰 다가 이번 에 17인치 로 바꾸 었 는데 훨씬 커지 ᆫ 화면 에 만족 하 ㅂ니다 
훨씬	기존 에 15인치 쓰 다가 이번 에 17인치 로 바꾸 었 는데 훨씬 커지 ᆫ 화면 에 만족 하 ㅂ니다 
만족	기존 에 15인치 쓰 다가 이번 에 17인치 로 바꾸 었 는데 훨씬 커지 ᆫ 화면 에 만족 하 ㅂ니다
좋	영화 나 드라마 보 기 에 도 좋 은 화면 크기 이 ㅂ니다
크	화면 도 여러 개 켜 어 두 는 것 좋아하 는데 화면 이 크 니까 좋 네요 
좋	화면 도 여러 개 켜 어 두 는 것 좋아하 는데 화면 이 크 니까 좋 네요
좋	들 고 다니 면서 쓸 거라 가볍 ᆫ 그램 으로 주문 하 았 는데 정말 가볍고 좋 아요 화면 도 크 어서 답답 하 지 않 아요 램 16 기가 로 업글 하 았 고 포토샵 2020 cc 랑 일러스트레이터 2020 cc 를 주로 사용 하 는데 좀 버벅 일 것 이 라고 생각 하 았 는데 고 해상도 이미지 로 작업 하 지 않 아서 그렇 ᆫ지 버벅거리 지 않 고 잘 돌아가 네요 좀 더 지켜보 아야 하 겠 지만 아직 까지 ᆫ 작업 하 ᆯ 때 빡 하 지 는 일 은 생기 지 않 았 어요 단점 은 걍 인터넷 만 쓰 ᆯ 때 도 가끔 발열 이 있 어요 지금 은 괜찮 지만 여름 되 고 어떻 ᆯ지 약간 걱정 이 되 기 ᆫ 함 무겁 ᆫ 프로그램 돌리 ᆯ 것 이 면 데 탑 사세 요 
크	들 고 다니 면서 쓸 거라 가볍 ᆫ 그램 으로 주문 하 았 는데 정말 가볍고 좋 아요 화면 도 크 어서 답답 하 지 않 아요 램 16 기가 로 업글 하 았 고 포토샵 2020 cc 랑 일러스트레이터 2020 cc 를 주로 사용 하 는데 좀 버벅 일 것 이 라고 생각 하 았 는데 고 해상도 이미지 로 작업 하 지 않 아서 그렇 ᆫ지 버벅거리 지 않 고 잘 돌아가 네요 좀 더 지켜보 아야 하 겠 지만 아직 까지 ᆫ 작업 하 ᆯ 때 빡 하 지 는 일 은 생기 지 않 았 어요 단점 은 걍 인터넷 만 쓰 ᆯ 때 도 가끔 발열 이 있 어요 지금 은 괜찮 지만 여름 되 고 어떻 ᆯ지 약간 걱정 이 되 기 ᆫ 함 무겁 ᆫ 프로그램 돌리 ᆯ 것 이 면 데 탑 사세 요
17인치	17인치 는 터치패드 가 되 는게 없 길래 그냥 사 았 는데 화면 이 크 어서 좋 기 ᆫ 하 ᆫ데 터치 힘 이 크 네유 
크	17인치 는 터치패드 가 되 는게 없 길래 그냥 사 았 는데 화면 이 크 어서 좋 기 ᆫ 하 ᆫ데 터치 힘 이 크 네유 
