PNword	review
대비	가격 대비 최고 가 아니 ᆯ까 싶 네요
저렴	가격 도 저렴 하 아서 더 좋 았 어요 
좋	가격 도 저렴 하 아서 더 좋 았 어요
만족	마우스 화이트 가 품절 이 라 블랙 으로 받 아서 그 게 좀 아쉽 었 구요 액정 필름 은 붙이 다 기포 과다 로 성공 하 지 못하 았 네요 ㅠㅠ 하 지만 가격 , 제품 모두 모두 아주 만족 이 이 ㅂ니다
좋	아내 생일 선물 로 사주 이 었 는데 디자인 , 무게 , 성능 삼박자 가 잘 맞 는 상품 이 ㅂ니다 팬 소음 도 심하 지 않 고 화면 도 크 고 무엇 보다 가볍 어서 휴대성 도 좋 네요 좋 은 상품 좋 은 가격 에 잘 사 았 습니다 감사합니다 
좋	아내 생일 선물 로 사주 이 었 는데 디자인 , 무게 , 성능 삼박자 가 잘 맞 는 상품 이 ㅂ니다 팬 소음 도 심하 지 않 고 화면 도 크 고 무엇 보다 가볍 어서 휴대성 도 좋 네요 좋 은 상품 좋 은 가격 에 잘 사 았 습니다 감사합니다 
좋	아내 생일 선물 로 사주 이 었 는데 디자인 , 무게 , 성능 삼박자 가 잘 맞 는 상품 이 ㅂ니다 팬 소음 도 심하 지 않 고 화면 도 크 고 무엇 보다 가볍 어서 휴대성 도 좋 네요 좋 은 상품 좋 은 가격 에 잘 사 았 습니다 감사합니다
저렴	때마침 스마일데이 이 라서 쿠폰 적용 을 하 았 더니 가격 이 많이 저렴 하 어 지 었 더라고요 물론 스마일데이 스마일 쿠폰 일 때 만 이 지만 그래도 가끔 이런 행사 를 하 면 저렴 하 게 잘 구매 하 는 것 같 습니다 
행사	때마침 스마일데이 이 라서 쿠폰 적용 을 하 았 더니 가격 이 많이 저렴 하 어 지 었 더라고요 물론 스마일데이 스마일 쿠폰 일 때 만 이 지만 그래도 가끔 이런 행사 를 하 면 저렴 하 게 잘 구매 하 는 것 같 습니다 
저렴	때마침 스마일데이 이 라서 쿠폰 적용 을 하 았 더니 가격 이 많이 저렴 하 어 지 었 더라고요 물론 스마일데이 스마일 쿠폰 일 때 만 이 지만 그래도 가끔 이런 행사 를 하 면 저렴 하 게 잘 구매 하 는 것 같 습니다
좋	예전 부터 그램 을 알아보 다가 좋 은 제품 을 좋 은 가격 에 우연히 알 게 되 어 구매 까지 이루어지 었 네요 
좋	예전 부터 그램 을 알아보 다가 좋 은 제품 을 좋 은 가격 에 우연히 알 게 되 어 구매 까지 이루어지 었 네요
대비	가격 대비 성능 이 면 훌륭 하 ㅂ니다 
훌륭	가격 대비 성능 이 면 훌륭 하 ㅂ니다
좋	집 에 있 는 데스크탑 과 노트북 이 오래 되 어서 타 제품 과 고민 하 던 중 에 17 그램 으로 결정 하 았 습니다 게임 도 안 하 고 인터넷 과 영화 감상 용 으로 구입 하 아서 이 ᆫ지 약간 가격 이 과 하 ᆫ 것 같 지만 가볍고 배터리 오래가 고 화 이 면 좋 고 as 까지 확실 하 게 되 는 제품 이 기 에 구입 하 기 ㄹ 잘 한 것 같 네요 숫자 하 기 까지 있 어서 사용 하 지 편 한 것 같 네요
비교	기존 에 레노버 와 비교 하 다가 가격 이 너무 넘사 벽 이 아서 눈 팅 만
착하	서비스 확실 하 고 가격 까지 착하 니 구매 원하 시 는 분 들 은 고고 하 시 어도 후회 없 는 선택 이 지 않 을까
비교	노트북 사양 비교 하 고 , 가격 비교 도 나름 많이 하 았 는데요 
비교	노트북 사양 비교 하 고 , 가격 비교 도 나름 많이 하 았 는데요
행사	집 에서 쓰 던 데스크탑 이 노후 되 어서 데스크탑 대체품 을 알아보 던 중 그림 17 을 눈여기 어 보 고 있 었 는데 가격 때문 에 망설이 었 는데 , 이번 행사 때 너무 저렴 하 게 구매 하 ᆯ 수 있 었 어요 
저렴	집 에서 쓰 던 데스크탑 이 노후 되 어서 데스크탑 대체품 을 알아보 던 중 그림 17 을 눈여기 어 보 고 있 었 는데 가격 때문 에 망설이 었 는데 , 이번 행사 때 너무 저렴 하 게 구매 하 ᆯ 수 있 었 어요
좋	하 ** 트 에서 구입 하 았 다가 15인치 가 165 만 원 이 아서 얼른 그것 취소 하 고 여기 서 구매 하 았 네요 가격 적 인 혜택 이 진짜 크 고 물건 도 넘 나 맘 에 들 어요 인치 가 크 어서 인강 용 으로 좋 고 속도 랑 용량 도 너무 좋 네요 베터리 도 구매 하 시 ᆯ 분 들 은 참고 하 시 어요 윈도우 는 별도 구매 제품 이 예요 윈도우 가격 포함 하 아도 17인치 감안 하 ᆫ다면 정말 저렴 하 ᆫ 가격 이 예요 
좋	하 ** 트 에서 구입 하 았 다가 15인치 가 165 만 원 이 아서 얼른 그것 취소 하 고 여기 서 구매 하 았 네요 가격 적 인 혜택 이 진짜 크 고 물건 도 넘 나 맘 에 들 어요 인치 가 크 어서 인강 용 으로 좋 고 속도 랑 용량 도 너무 좋 네요 베터리 도 구매 하 시 ᆯ 분 들 은 참고 하 시 어요 윈도우 는 별도 구매 제품 이 예요 윈도우 가격 포함 하 아도 17인치 감안 하 ᆫ다면 정말 저렴 하 ᆫ 가격 이 예요 
