PNword	review
좋	화면 이 시원시원 하 ᆫ 대화면 에 휴대성 까지 갖추 ᆫ 제품 이 라 좋 아요
만족	마우스 화이트 가 품절 이 라 블랙 으로 받 아서 그 게 좀 아쉽 었 구요 액정 필름 은 붙이 다 기포 과다 로 성공 하 지 못하 았 네요 ㅠㅠ 하 지만 가격 , 제품 모두 모두 아주 만족 이 이 ㅂ니다
좋	빠르 아서 좋 았 어요 제품 포장 : 뽁뽁이 로 엄청 돌돌 잘 말리 어 오 아서 안전하게 잘 배송 오 았 습니다
문제 없이	17인치 이 라 화면 도 큼직큼직 하 고 제품 문제 없이 잘 되 고요 , 영상 이랑 3 D 작업 하 려고 사 았 습니다
좋	해외 유학 가 기 전 에 사 아 두 려고 하 았 는데 사양 좋 은 노트북 이랑 고민 고민 하 다가 이 제품 구매 하 았 습니다
고성능	해당 제품 에 썬더볼트 기능 이 있 어 egpu 통하 아서 도 고성능 을 내 ᆯ 수 있 어 구매 하 았 는데 기대 가 되 ㅂ니다
좋	예전 부터 그램 을 알아보 다가 좋 은 제품 을 좋 은 가격 에 우연히 알 게 되 어 구매 까지 이루어지 었 네요 
좋	예전 부터 그램 을 알아보 다가 좋 은 제품 을 좋 은 가격 에 우연히 알 게 되 어 구매 까지 이루어지 었 네요
좋	아직 많이 쓰 어 보 지 는 않 았 지만 좋 은 각 겨 이 ᆫ 좋 은 제품 은 틀림 없 는 것 같 습니다 
좋	아직 많이 쓰 어 보 지 는 않 았 지만 좋 은 각 겨 이 ᆫ 좋 은 제품 은 틀림 없 는 것 같 습니다
좋	집 에 있 는 데스크탑 과 노트북 이 오래 되 어서 타 제품 과 고민 하 던 중 에 17 그램 으로 결정 하 았 습니다 게임 도 안 하 고 인터넷 과 영화 감상 용 으로 구입 하 아서 이 ᆫ지 약간 가격 이 과 하 ᆫ 것 같 지만 가볍고 배터리 오래가 고 화 이 면 좋 고 as 까지 확실 하 게 되 는 제품 이 기 에 구입 하 기 ㄹ 잘 한 것 같 네요 숫자 하 기 까지 있 어서 사용 하 지 편 한 것 같 네요
좋	싸 고 좋 은 제품 을 빠르 게 잘 받 았 어요
좋	제품 친구 가 사용 하 고 있 어서 좋 은 것 알 고 있 어서 빅스마일데이 에 바로 지르 었 습니다
좋	하 ** 트 에서 구입 하 았 다가 15인치 가 165 만 원 이 아서 얼른 그것 취소 하 고 여기 서 구매 하 았 네요 가격 적 인 혜택 이 진짜 크 고 물건 도 넘 나 맘 에 들 어요 인치 가 크 어서 인강 용 으로 좋 고 속도 랑 용량 도 너무 좋 네요 베터리 도 구매 하 시 ᆯ 분 들 은 참고 하 시 어요 윈도우 는 별도 구매 제품 이 예요 윈도우 가격 포함 하 아도 17인치 감안 하 ᆫ다면 정말 저렴 하 ᆫ 가격 이 예요 
좋	하 ** 트 에서 구입 하 았 다가 15인치 가 165 만 원 이 아서 얼른 그것 취소 하 고 여기 서 구매 하 았 네요 가격 적 인 혜택 이 진짜 크 고 물건 도 넘 나 맘 에 들 어요 인치 가 크 어서 인강 용 으로 좋 고 속도 랑 용량 도 너무 좋 네요 베터리 도 구매 하 시 ᆯ 분 들 은 참고 하 시 어요 윈도우 는 별도 구매 제품 이 예요 윈도우 가격 포함 하 아도 17인치 감안 하 ᆫ다면 정말 저렴 하 ᆫ 가격 이 예요
가볍	가격 이 높 아서 고민 하 던 제품 이번 에 빅스마일 쿠폰 으로 득템 하 았 네요 너무 예쁘 어요 성능 은 물론 생각 보다 가볍 어요
비싸	비싸 ᆫ 제품 구매 하 시 는 만큼 내 가 구매 하 는 제품 이 정확히 무엇 이 ᆫ지 알아보 시 고 구매 하 시 길 권유 드리 ㅂ니다
가볍	손가락 으로 되 ㄹ 수 있 는 제품 가볍 네요 확실히
만족	기존 에 사용 하 던 15인치 가방 에 도 무리 없이 사용 가능 하 ᆫ 점 역시 만족 스럽 어요 그램 은 가격 이 사악 하 ᆫ 것 제외 하 면 추천 안 하 ᆯ 수 없 는 제품 이 었 는데 이번 스마일데이 덕분 에 착하 ᆫ 가격 으로 구매 하 ᆯ 수 있 어서 두 번 추천 하 ㅂ니다
가볍	가볍 다고 는 알 고 는 있 었 지만 제품 받 고 실제로 들어보 니 , 정말 크기 에 비하 아서 깜짝 놀라 ᆯ 정도 로 가볍 네요 화면 도 크 ㅁ 질 하 니 시원시원 하 고 LCD 품질 도 너무 좋 습니다 
가볍	가볍 다고 는 알 고 는 있 었 지만 제품 받 고 실제로 들어보 니 , 정말 크기 에 비하 아서 깜짝 놀라 ᆯ 정도 로 가볍 네요 화면 도 크 ㅁ 질 하 니 시원시원 하 고 LCD 품질 도 너무 좋 습니다 
좋	가볍 다고 는 알 고 는 있 었 지만 제품 받 고 실제로 들어보 니 , 정말 크기 에 비하 아서 깜짝 놀라 ᆯ 정도 로 가볍 네요 화면 도 크 ㅁ 질 하 니 시원시원 하 고 LCD 품질 도 너무 좋 습니다
만족	데스크탑 대용 으로 화면 크 ᆫ 노트북 을 찾 다보니 LG 그램 에 17 인 제품 이 있 어 구입 을 하 었 는데 넘 만족 하 ㅂ니다
좋	엄청 가볍고 돈 이 아깝 지 않 네요 좋 은 가격 에 너무 좋 은 제품 을 산 것 같 아 기분 이 좋 습니다 기 족 노트북 이 너무 오래 쓰 어서 그렇 ᆫ지 갑자기 미래 로 오 ᆫ 기분 
좋	엄청 가볍고 돈 이 아깝 지 않 네요 좋 은 가격 에 너무 좋 은 제품 을 산 것 같 아 기분 이 좋 습니다 기 족 노트북 이 너무 오래 쓰 어서 그렇 ᆫ지 갑자기 미래 로 오 ᆫ 기분 
좋	엄청 가볍고 돈 이 아깝 지 않 네요 좋 은 가격 에 너무 좋 은 제품 을 산 것 같 아 기분 이 좋 습니다 기 족 노트북 이 너무 오래 쓰 어서 그렇 ᆫ지 갑자기 미래 로 오 ᆫ 기분
좋	배송 도 빠르 고 제품 도 좋 네요
좋	생각 보다 빨리 도착 하 았 고 제품 도 좋 습니다
좋	무선 마우스 또한 무료 로 증정 하 아 주 어서 다른 제품 에 들 는 비용 을 줄이 ᆯ 수 있 어 너무 좋 습니다
가볍	차량 이동 시 찾아가 기 쉽 ᄆ ( 직접 수령 시 잊 지 않 고 사은품 제공 ) 제품 특징 매우 가볍 고 성능 빵빵 경쟁사 모델 은 15인치 가 그램 17인치 와 유사 무게 이 죠
문제없	씨 ㄹ 링 도 문제없 는 새 제품 이 네요
만족	노트북 은 진짜 무게 가 중요 하 다고 생각 하 는 저 로서 는 정말 만족 하 는 제품 이 었 지요
가볍	무게 차이 는 15인치 랑 17인치 랑 좀 나 는 것 같 더라고요 그래도 제품 자체 가 너무 가볍 어서 17인치 도 손쉽 게 휴대 가능 하 ᆯ 것 같 아요
좋	워낙 유명 하 ᆫ 제품 이 고 인기 있 으니깐 설명 도 필요 없이 너무 좋 습니다
좋	좋 은 제품 많이 판매 하 아 주 시 고 사은품 으로 주 시 ᆫ 마우스 도 잘 사용 하 ᆯ께요
가볍	신랑 이 사진 , 영상 작업 을 하 기 때문 에 무겁 ᆫ 노트북 을 가지 고 다니 는데 카메라 에 렌즈 에 이것저것 잡동사니 들 때문 에 어깨 가 많이 아프 다고 하 아서 가볍 고 성능 좋 은 제품 을 원하 았 는데 휴대성 이 좋 고 웬만 하 ᆫ 작업 은 그램 으로 가능 하 니 좋 아요 
좋	신랑 이 사진 , 영상 작업 을 하 기 때문 에 무겁 ᆫ 노트북 을 가지 고 다니 는데 카메라 에 렌즈 에 이것저것 잡동사니 들 때문 에 어깨 가 많이 아프 다고 하 아서 가볍 고 성능 좋 은 제품 을 원하 았 는데 휴대성 이 좋 고 웬만 하 ᆫ 작업 은 그램 으로 가능 하 니 좋 아요 
좋	신랑 이 사진 , 영상 작업 을 하 기 때문 에 무겁 ᆫ 노트북 을 가지 고 다니 는데 카메라 에 렌즈 에 이것저것 잡동사니 들 때문 에 어깨 가 많이 아프 다고 하 아서 가볍 고 성능 좋 은 제품 을 원하 았 는데 휴대성 이 좋 고 웬만 하 ᆫ 작업 은 그램 으로 가능 하 니 좋 아요 
좋	신랑 이 사진 , 영상 작업 을 하 기 때문 에 무겁 ᆫ 노트북 을 가지 고 다니 는데 카메라 에 렌즈 에 이것저것 잡동사니 들 때문 에 어깨 가 많이 아프 다고 하 아서 가볍 고 성능 좋 은 제품 을 원하 았 는데 휴대성 이 좋 고 웬만 하 ᆫ 작업 은 그램 으로 가능 하 니 좋 아요
