PNword	review
빠르	배송 도 빠르 고 , 포장 도 꼼꼼 하 게 하 아 주 시 어서 안전하게 받 았 습니다 
꼼꼼	배송 도 빠르 고 , 포장 도 꼼꼼 하 게 하 아 주 시 어서 안전하게 받 았 습니다
빠르	배송 빠르 고 가볍 어요 흰색 깔끔 하 니 이쁘 어요
빨리	배송 도 빨리 하 아 주 시 어서 감사 하 았 습니다
빠르	답변 도 빠르 엇 고 배송 도 좋 았 네요
빠르	빠르 ᆫ 배송 과 정확 하 ᆫ 옵션 추가 및 작업 으로 만족 하 ㅂ니다 
정확	빠르 ᆫ 배송 과 정확 하 ᆫ 옵션 추가 및 작업 으로 만족 하 ㅂ니다
빠르	배송 도 빠르 고 양품 으로 보내주 시 어서 업무 하 ᆯ 때 마다 행복 하 네요
다음날	마우스 가 깨지 어 오 아서 연락 하 았 더니 다음날 새 제품 으로 배송 하 어 주 시 네요
다음날	배송 은 주문 ㅎ ㅜ 다음날 바로 발송 되 었 는데 서울 이 아니 라서 퀵 으로 ᆫ 받 아 보 지 못하 아 아쉽 네요 
바로	배송 은 주문 ㅎ ㅜ 다음날 바로 발송 되 었 는데 서울 이 아니 라서 퀵 으로 ᆫ 받 아 보 지 못하 아 아쉽 네요 
아쉽	배송 은 주문 ㅎ ㅜ 다음날 바로 발송 되 었 는데 서울 이 아니 라서 퀵 으로 ᆫ 받 아 보 지 못하 아 아쉽 네요
만	배송 : ssd 랑 램 추가 하 았 는데 이틀 만 에 배송 오 았 습니다
빠르	빠르 아서 좋 았 어요 제품 포장 : 뽁뽁이 로 엄청 돌돌 잘 말리 어 오 아서 안전하게 잘 배송 오 았 습니다
빠르	배송 도 매우 빠르 고 포장 도 꼼꼼히 하 아 주 시 어서 기스 하나 없이 잘 받 고
하루	배송 은 지방 이 ᆫ데 도 하루 만 에 도착 하 았 네요 
만	배송 은 지방 이 ᆫ데 도 하루 만 에 도착 하 았 네요
빠르	우선 빠르 ᆫ 배송 정말 좋 아요 cj 택배 이 어서 고민 이 많 았 는데 왠 일 이 ᆫ지 빨리 오 았 어요 몇 년 전 에 xnote 쓰 다가 2 번째 노트북 이 ᆫ데 정말 맘 에 들 어요 15 안치 랑 17인치 중 에 고민 하 았었 는데 큰맘 먹 고 17인치 로 질리 었 는데 돈 이 아깝 지 가 않 아요 그러 ㅁ 을 들 었 는데 너무 가볍 더라고요 이렇게 가볍 ᆯ 수 도 있 구나 참 잘 사 았 어요 
빨리	우선 빠르 ᆫ 배송 정말 좋 아요 cj 택배 이 어서 고민 이 많 았 는데 왠 일 이 ᆫ지 빨리 오 았 어요 몇 년 전 에 xnote 쓰 다가 2 번째 노트북 이 ᆫ데 정말 맘 에 들 어요 15 안치 랑 17인치 중 에 고민 하 았었 는데 큰맘 먹 고 17인치 로 질리 었 는데 돈 이 아깝 지 가 않 아요 그러 ㅁ 을 들 었 는데 너무 가볍 더라고요 이렇게 가볍 ᆯ 수 도 있 구나 참 잘 사 았 어요
느리	배송 은 느리 었 지만
빠르	배송 도 빠르 ᆫ 편 이 었 고 이번 이벤트 로 하 ᆯ 인 많이 받 아서 산 것 같 아서 좋 아 이 어
빠르	배송 부터 너무 빠르 게 오 았 으며 , 박스 부터 이쁘 게 오 았 습니다
빠르	배송 도 빠르 었 구요 램 추가 한 것 도 잘 장착 되 어 배송 ？ 습니다 그러 ㅁ 이랑 삼성 올 웨이 즈 고민 하 다 그램 으로 선택 하 았 네요 17인치 이 라 화면 이 크 어서 좋 아요
빠르	고민 많이 하 았 는게 , 배송 도 빠르 고 완전 만족 하 ㅂ니다
빠르	받 아 보 고 생각 하 ᆫ 것 보다 많이 가볍 어 좋 았 고 성능 도 램 추가 하 어 왠만 하 ᆫ 작업 도 빠르 게 잘 돌아가 는 것 같 습니다 스피커 음질 도 영상 보 기 에 만족 하 ᆯ 만큼 괜찮 구요 외관 은 화이트 로 깔끔 하 고 같이 배송 온 파우치 에 넣 으면 외부 활동 시 편하 게 가지 고 다니 ᆯ 수 있 겠 어요 배송 도 다음날 도착 으로 빠르 었 구요 램 추가 한 것 도 잘 장착 되 어 배송 ？ 습니다 잘 쓰 겠 습니다 
