PNword	review
가볍고	무게 도 가볍고 , 지문 으로 로그인 하 는 시스템 도 좋 아요
가볍고	무게 도 엄청나 게 가볍고 다만 크 기가 크 어서 전용 가방 아니 ᄆ 잘 안 들어가 네요
가볍	제 가 쓰 는 맥 보다 훨씬 화면 은 크 ᆫ데 무게 는 훨씬 가볍 네요
가볍	무게 에 비하 아 정말 정말 가볍
가볍고	현재 15인치 노트북 을 사용 하 고 있 는데 17인치 그램 은 화면 은 크 고 , 무게 는 가볍고 정말 좋 네요
가볍	가볍 어서 들 고 다니 는데 도 1 중 지장 없 고 여자 ᆫ데 도 무게 에 부담 없 어서 좋 네요 용산 에 직접 가 아서 메모리 도 업그레이드 바로 받 고 직접 박스 도 보여주 시 고 하 아서 더 안심 이 되 더라 구용 키스킨 이랑 화면 에 붙이 는 보호대 모두 붙이 었 는데 것 의 기포 없이 잘 붙 었 어요 기본 적 인 사은품 이 많 아서 기타 악세사리 를 제 가 따로 안 사 도 되 니까 추가비용 이 전혀 없 어서 좋 네요 마우스 부터 노트북 케이스 키스킨 화면 보호 스킨 전부 이 다 주 시 고 최고 예 용
가볍	아내 생일 선물 로 사주 이 었 는데 디자인 , 무게 , 성능 삼박자 가 잘 맞 는 상품 이 ㅂ니다 팬 소음 도 심하 지 않 고 화면 도 크 고 무엇 보다 가볍 어서 휴대성 도 좋 네요 좋 은 상품 좋 은 가격 에 잘 사 았 습니다 감사합니다
약간	약간 의 발열 이 있 으나 크 ᆫ 화면 , 가볍 ᆫ 무게 만족 하 ㅂ니다 
가볍	약간 의 발열 이 있 으나 크 ᆫ 화면 , 가볍 ᆫ 무게 만족 하 ㅂ니다
적당	디자인 이야 뭐 다른 노트북 에 비하 아 훨씬 예쁘 ᆫ 것 같 고 크 다고 ㅎ ㅠ 대 못하 고 그렇 ᆯ 정도 는 아니 ᆫ 것 같 아요 근데 여자 분 들 이 쓰 시 기 에 는 15인치 가 적당 하 지 않 을까 싶 네요 그래도 크기 랑 무게 차이 가 좀 있 기 ᆫ 있 습니다
가볍	그 로부터 가볍 ᆫ 무게 와 LG 에서 만 느끼 ᆯ 수 있 는 IPS 의 액정 화질 에 놀라 아서 그램 광 팬 이 되 어 버리 었 네요
무겁	기존 노트북 은 오래되 ᆫ 것 이 라 무겁 어서 것 의 무기 수준 이 았 는데 그램 은 17인치 임 에 도 무게 가 넘 가볍 어요 
가볍	기존 노트북 은 오래되 ᆫ 것 이 라 무겁 어서 것 의 무기 수준 이 았 는데 그램 은 17인치 임 에 도 무게 가 넘 가볍 어요
가볍	무게 도 크기 에 비하 아 가볍 네요 노트북 케이스 도 마음 에 들 어요
가볍고	무게 도 가볍고 화면 크기 도 시원시원 하 고 아주 좋 아요 i7 이랑 i5 고민 많이 하 았 는데 둘 이 차이 가 미세 하 고 저 는 웹서핑 영화감상 인강 용 으로 만 사용 하 ᆯ거라 이 모델 로 하 았 습니다
가볍	무게 또한 너무 가볍 구요
가볍	무게 는 들 때 마다 가볍 어서 신기 하 고
적당	다른 노트북 보다 화면 이 크 어서 좋 아요 정말 광활 하 ᆫ 느낌 이 드 ㅂ니다 그래서 동영상 이나 사진 작업 에 정말 좋은 것 같 아요 다르 ᆫ 브랜드 노트북 들 15인치 가 그램 17 이랑 비슷 하 ᆫ 것 같 아요 배 젤 이 얇 게 나오 아서 화면 은 크 지만 외부 사이즈 는 가지 고 다니 기 적당 하 어요 그램 이 라는 이름 처럼 무게 도 얼마 안 나가 고 가볍 어요 색상 도 하얗 ᆫ 것 이 깔끔 하 게 예쁘 어서 마음 에 쏙 드 ㅂ니다 나중 에 램 을 추가 하 ᆯ 수 있 는 여유 슬롯 도 있 어서 좋 고 윈도우10 도 쉽 게 설치 하 았 어요 그리고 배송 도 엄청 빨리 오 았 어 요다 만 마우스 가 고장나 ᆫ 것 이 오 아서 문의 글 남기 고 추가 배송 받 은 것 이 약간 번거롭 었 어요 하 지만 칼 배송 하 아 주 시 어서 대만족 하 ㅂ니다 
가볍	다른 노트북 보다 화면 이 크 어서 좋 아요 정말 광활 하 ᆫ 느낌 이 드 ㅂ니다 그래서 동영상 이나 사진 작업 에 정말 좋은 것 같 아요 다르 ᆫ 브랜드 노트북 들 15인치 가 그램 17 이랑 비슷 하 ᆫ 것 같 아요 배 젤 이 얇 게 나오 아서 화면 은 크 지만 외부 사이즈 는 가지 고 다니 기 적당 하 어요 그램 이 라는 이름 처럼 무게 도 얼마 안 나가 고 가볍 어요 색상 도 하얗 ᆫ 것 이 깔끔 하 게 예쁘 어서 마음 에 쏙 드 ㅂ니다 나중 에 램 을 추가 하 ᆯ 수 있 는 여유 슬롯 도 있 어서 좋 고 윈도우10 도 쉽 게 설치 하 았 어요 그리고 배송 도 엄청 빨리 오 았 어 요다 만 마우스 가 고장나 ᆫ 것 이 오 아서 문의 글 남기 고 추가 배송 받 은 것 이 약간 번거롭 었 어요 하 지만 칼 배송 하 아 주 시 어서 대만족 하 ㅂ니다 
약간	다른 노트북 보다 화면 이 크 어서 좋 아요 정말 광활 하 ᆫ 느낌 이 드 ㅂ니다 그래서 동영상 이나 사진 작업 에 정말 좋은 것 같 아요 다르 ᆫ 브랜드 노트북 들 15인치 가 그램 17 이랑 비슷 하 ᆫ 것 같 아요 배 젤 이 얇 게 나오 아서 화면 은 크 지만 외부 사이즈 는 가지 고 다니 기 적당 하 어요 그램 이 라는 이름 처럼 무게 도 얼마 안 나가 고 가볍 어요 색상 도 하얗 ᆫ 것 이 깔끔 하 게 예쁘 어서 마음 에 쏙 드 ㅂ니다 나중 에 램 을 추가 하 ᆯ 수 있 는 여유 슬롯 도 있 어서 좋 고 윈도우10 도 쉽 게 설치 하 았 어요 그리고 배송 도 엄청 빨리 오 았 어 요다 만 마우스 가 고장나 ᆫ 것 이 오 아서 문의 글 남기 고 추가 배송 받 은 것 이 약간 번거롭 었 어요 하 지만 칼 배송 하 아 주 시 어서 대만족 하 ㅂ니다
가볍	무게 : 가볍 다
가볍	그런데 무게 는 오히려 일반 15인치 보다 더 가볍 죠
